"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0008"	"1"	"756.19"	"91654"
"0008"	"1"	"756.16"	"3185"
"0008"	"1"	"756.15"	"5131"
"0008"	"1"	"756.02"	"48671"
"0008"	"1"	"756.13"	"30205"
"0008"	"1"	"756.12"	"5025"
"0008"	"1"	"756.10"	"76686"
"0008"	"1"	"756.25"	"22848"
"0008"	"1"	"756.08"	"4445"
"0008"	"1"	"756.18"	"15551"
"0008"	"1"	"756.26"	"18399"
"0008"	"1"	"756.03"	"105635"
"0008"	"1"	"756.24"	"15774"
"0008"	"1"	"756.07"	"8663"
"0008"	"1"	"756.06"	"10348"
"0008"	"1"	"756.17"	"94833"
"0008"	"1"	"756.14"	"2945"
"0008"	"1"	"756.11"	"44558"
"0008"	"1"	"756.05"	"45276"
"0008"	"1"	"756.20"	"22885"
"0008"	"1"	"756.21"	"29220"
"0008"	"1"	"756.04"	"9290"
"0008"	"1"	"756.22"	"47645"
"0008"	"1"	"756.23"	"74315"
"0008"	"1"	"756.09"	"22005"
"0008"	"1"	"756.01"	"96386"
"0032"	"1"	"756.19"	"17640"
"0032"	"1"	"756.16"	"3"
"0032"	"1"	"756.15"	"35"
"0032"	"1"	"756.02"	"557"
"0032"	"1"	"756.13"	"419"
"0032"	"1"	"756.12"	"168"
"0032"	"1"	"756.10"	"129"
"0032"	"1"	"756.25"	"362"
"0032"	"1"	"756.08"	"50"
"0032"	"1"	"756.18"	"1383"
"0032"	"1"	"756.26"	"14"
"0032"	"1"	"756.03"	"199"
"0032"	"1"	"756.24"	"115"
"0032"	"1"	"756.07"	"58"
"0032"	"1"	"756.06"	"77"
"0032"	"1"	"756.17"	"312"
"0032"	"1"	"756.14"	"123"
"0032"	"1"	"756.11"	"337"
"0032"	"1"	"756.05"	"159"
"0032"	"1"	"756.20"	"1267"
"0032"	"1"	"756.21"	"493"
"0032"	"1"	"756.04"	"7"
"0032"	"1"	"756.22"	"579"
"0032"	"1"	"756.23"	"116"
"0032"	"1"	"756.09"	"214"
"0032"	"1"	"756.01"	"7841"
"0057"	"1"	"756.19"	"46"
"0057"	"1"	"756.15"	"4"
"0057"	"1"	"756.02"	"2820"
"0057"	"1"	"756.13"	"75"
"0057"	"1"	"756.12"	"18"
"0057"	"1"	"756.10"	"146"
"0057"	"1"	"756.25"	"3109"
"0057"	"1"	"756.08"	"16"
"0057"	"1"	"756.18"	"59"
"0057"	"1"	"756.26"	"13"
"0057"	"1"	"756.03"	"18"
"0057"	"1"	"756.24"	"82"
"0057"	"1"	"756.07"	"5"
"0057"	"1"	"756.06"	"11"
"0057"	"1"	"756.17"	"126"
"0057"	"1"	"756.14"	"6"
"0057"	"1"	"756.11"	"114"
"0057"	"1"	"756.05"	"13"
"0057"	"1"	"756.20"	"127"
"0057"	"1"	"756.21"	"358"
"0057"	"1"	"756.04"	"1"
"0057"	"1"	"756.22"	"4267"
"0057"	"1"	"756.23"	"1009"
"0057"	"1"	"756.09"	"10"
"0057"	"1"	"756.01"	"992"
"0062"	"1"	"756.19"	"287"
"0062"	"1"	"756.16"	"5"
"0062"	"1"	"756.15"	"61"
"0062"	"1"	"756.02"	"1655"
"0062"	"1"	"756.13"	"439"
"0062"	"1"	"756.12"	"333"
"0062"	"1"	"756.10"	"1235"
"0062"	"1"	"756.25"	"4091"
"0062"	"1"	"756.08"	"40"
"0062"	"1"	"756.18"	"185"
"0062"	"1"	"756.26"	"168"
"0062"	"1"	"756.03"	"215"
"0062"	"1"	"756.24"	"1147"
"0062"	"1"	"756.07"	"35"
"0062"	"1"	"756.06"	"12"
"0062"	"1"	"756.17"	"287"
"0062"	"1"	"756.14"	"78"
"0062"	"1"	"756.11"	"250"
"0062"	"1"	"756.05"	"86"
"0062"	"1"	"756.20"	"191"
"0062"	"1"	"756.21"	"12232"
"0062"	"1"	"756.04"	"39"
"0062"	"1"	"756.22"	"20184"
"0062"	"1"	"756.23"	"1782"
"0062"	"1"	"756.09"	"84"
"0062"	"1"	"756.01"	"2847"
"0097"	"1"	"756.08"	"781"
"0134"	"1"	"756.05"	"3246"
"0134"	"1"	"756.01"	"106"
"0160"	"1"	"756.19"	"567"
"0160"	"1"	"756.16"	"1"
"0160"	"1"	"756.15"	"16"
"0160"	"1"	"756.02"	"9136"
"0160"	"1"	"756.13"	"42"
