"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0008"	"2"	"756.19"	"93742"
"0008"	"2"	"756.16"	"3052"
"0008"	"2"	"756.15"	"4842"
"0008"	"2"	"756.02"	"44178"
"0008"	"2"	"756.13"	"30181"
"0008"	"2"	"756.12"	"5162"
"0008"	"2"	"756.10"	"77517"
"0008"	"2"	"756.25"	"24764"
"0008"	"2"	"756.08"	"3771"
"0008"	"2"	"756.18"	"13152"
"0008"	"2"	"756.26"	"15991"
"0008"	"2"	"756.03"	"106491"
"0008"	"2"	"756.24"	"16626"
"0008"	"2"	"756.07"	"8711"
"0008"	"2"	"756.06"	"10674"
"0008"	"2"	"756.17"	"93690"
"0008"	"2"	"756.14"	"3037"
"0008"	"2"	"756.11"	"44863"
"0008"	"2"	"756.05"	"45139"
"0008"	"2"	"756.20"	"22278"
"0008"	"2"	"756.21"	"27053"
"0008"	"2"	"756.04"	"8818"
"0008"	"2"	"756.22"	"46257"
"0008"	"2"	"756.23"	"69826"
"0008"	"2"	"756.09"	"22128"
"0008"	"2"	"756.01"	"97741"
"0032"	"2"	"756.19"	"17444"
"0032"	"2"	"756.16"	"7"
"0032"	"2"	"756.15"	"32"
"0032"	"2"	"756.02"	"525"
"0032"	"2"	"756.13"	"418"
"0032"	"2"	"756.12"	"153"
"0032"	"2"	"756.10"	"139"
"0032"	"2"	"756.25"	"340"
"0032"	"2"	"756.08"	"55"
"0032"	"2"	"756.18"	"1763"
"0032"	"2"	"756.26"	"14"
"0032"	"2"	"756.03"	"211"
"0032"	"2"	"756.24"	"66"
"0032"	"2"	"756.07"	"60"
"0032"	"2"	"756.06"	"77"
"0032"	"2"	"756.17"	"310"
"0032"	"2"	"756.14"	"112"
"0032"	"2"	"756.11"	"335"
"0032"	"2"	"756.05"	"166"
"0032"	"2"	"756.20"	"1161"
"0032"	"2"	"756.21"	"477"
"0032"	"2"	"756.04"	"9"
"0032"	"2"	"756.22"	"524"
"0032"	"2"	"756.23"	"113"
"0032"	"2"	"756.09"	"213"
"0032"	"2"	"756.01"	"7695"
"0057"	"2"	"756.19"	"35"
"0057"	"2"	"756.15"	"3"
"0057"	"2"	"756.02"	"1966"
"0057"	"2"	"756.13"	"77"
"0057"	"2"	"756.12"	"21"
"0057"	"2"	"756.10"	"138"
"0057"	"2"	"756.25"	"2425"
"0057"	"2"	"756.08"	"15"
"0057"	"2"	"756.18"	"47"
"0057"	"2"	"756.26"	"15"
"0057"	"2"	"756.03"	"21"
"0057"	"2"	"756.24"	"78"
"0057"	"2"	"756.06"	"10"
"0057"	"2"	"756.17"	"106"
"0057"	"2"	"756.14"	"8"
"0057"	"2"	"756.11"	"249"
"0057"	"2"	"756.05"	"13"
"0057"	"2"	"756.20"	"100"
"0057"	"2"	"756.21"	"304"
"0057"	"2"	"756.04"	"2"
"0057"	"2"	"756.22"	"3474"
"0057"	"2"	"756.23"	"953"
"0057"	"2"	"756.09"	"7"
"0057"	"2"	"756.01"	"763"
"0062"	"2"	"756.19"	"246"
"0062"	"2"	"756.16"	"6"
"0062"	"2"	"756.15"	"54"
"0062"	"2"	"756.02"	"1481"
"0062"	"2"	"756.13"	"399"
"0062"	"2"	"756.12"	"296"
"0062"	"2"	"756.10"	"1138"
"0062"	"2"	"756.25"	"3946"
"0062"	"2"	"756.08"	"34"
"0062"	"2"	"756.18"	"172"
"0062"	"2"	"756.26"	"156"
"0062"	"2"	"756.03"	"182"
"0062"	"2"	"756.24"	"1360"
"0062"	"2"	"756.07"	"33"
"0062"	"2"	"756.06"	"15"
"0062"	"2"	"756.17"	"245"
"0062"	"2"	"756.14"	"69"
"0062"	"2"	"756.11"	"226"
"0062"	"2"	"756.05"	"82"
"0062"	"2"	"756.20"	"182"
"0062"	"2"	"756.21"	"11311"
"0062"	"2"	"756.04"	"37"
"0062"	"2"	"756.22"	"19044"
"0062"	"2"	"756.23"	"1654"
"0062"	"2"	"756.09"	"77"
"0062"	"2"	"756.01"	"2382"
"0097"	"2"	"756.08"	"787"
"0134"	"2"	"756.05"	"3455"
"0134"	"2"	"756.01"	"104"
"0160"	"2"	"756.19"	"1473"
"0160"	"2"	"756.16"	"1"
"0160"	"2"	"756.15"	"11"
"0160"	"2"	"756.02"	"9933"
"0160"	"2"	"756.13"	"46"
"0160"	"2"	"756.12"	"27"
"0160"	"2"	"756.10"	"8297"
"0160"	"2"	"756.25"	"1610"
"0160"	"2"	"756.08"	"13"
"0160"	"2"	"756.18"	"37"
"0160"	"2"	"756.26"	"404"
"0160"	"2"	"756.03"	"68"
"0160"	"2"	"756.24"	"7164"
"0160"	"2"	"756.07"	"25"
"0160"	"2"	"756.06"	"23"
"0160"	"2"	"756.17"	"217"
"0160"	"2"	"756.14"	"3"
"0160"	"2"	"756.11"	"211"
"0160"	"2"	"756.05"	"19"
"0160"	"2"	"756.20"	"43"
"0160"	"2"	"756.21"	"12"
"0160"	"2"	"756.04"	"0"
"0160"	"2"	"756.22"	"1046"
"0160"	"2"	"756.23"	"120"
"0160"	"2"	"756.09"	"13"
"0160"	"2"	"756.01"	"395"
"0182"	"2"	"756.19"	"2727"
"0182"	"2"	"756.16"	"14"
"0182"	"2"	"756.15"	"114"
"0182"	"2"	"756.02"	"1803"
"0182"	"2"	"756.13"	"490"
"0182"	"2"	"756.12"	"151"
"0182"	"2"	"756.10"	"122"
"0182"	"2"	"756.25"	"1064"
"0182"	"2"	"756.08"	"39"
"0182"	"2"	"756.18"	"178"
"0182"	"2"	"756.26"	"20"
"0182"	"2"	"756.03"	"358"
"0182"	"2"	"756.24"	"81"
"0182"	"2"	"756.07"	"26"
"0182"	"2"	"756.06"	"22"
"0182"	"2"	"756.17"	"5000"
"0182"	"2"	"756.14"	"559"
"0182"	"2"	"756.11"	"1878"
"0182"	"2"	"756.05"	"268"
"0182"	"2"	"756.20"	"3029"
"0182"	"2"	"756.21"	"97"
"0182"	"2"	"756.04"	"13"
"0182"	"2"	"756.22"	"524"
"0182"	"2"	"756.23"	"69"
"0182"	"2"	"756.09"	"122"
"0182"	"2"	"756.01"	"37972"
"0194"	"2"	"756.19"	"323"
"0194"	"2"	"756.16"	"1"
"0194"	"2"	"756.15"	"13"
"0194"	"2"	"756.02"	"19182"
"0194"	"2"	"756.13"	"147"
"0194"	"2"	"756.12"	"43"
"0194"	"2"	"756.10"	"146"
"0194"	"2"	"756.08"	"9"
"0194"	"2"	"756.18"	"40"
"0194"	"2"	"756.03"	"131"
"0194"	"2"	"756.07"	"4"
"0194"	"2"	"756.06"	"12"
"0194"	"2"	"756.17"	"73"
"0194"	"2"	"756.14"	"34"
"0194"	"2"	"756.11"	"441"
"0194"	"2"	"756.05"	"40"
"0194"	"2"	"756.20"	"64"
"0194"	"2"	"756.04"	"4"
"0194"	"2"	"756.23"	"36"
"0194"	"2"	"756.09"	"44"
"0194"	"2"	"756.01"	"761"
"0216"	"2"	"756.02"	"1"
"0216"	"2"	"756.13"	"1"
"0216"	"2"	"756.10"	"25"
"0216"	"2"	"756.25"	"24"
"0216"	"2"	"756.08"	"12"
"0216"	"2"	"756.26"	"1"
"0216"	"2"	"756.24"	"7"
"0216"	"2"	"756.17"	"2"
"0216"	"2"	"756.05"	"1"
"0216"	"2"	"756.21"	"3"
"0216"	"2"	"756.22"	"726"
"0216"	"2"	"756.23"	"1243"
"0216"	"2"	"756.01"	"1"
"0246"	"2"	"756.19"	"20"
"0246"	"2"	"756.02"	"6993"
"0246"	"2"	"756.11"	"28"
"0246"	"2"	"756.01"	"40"
"0261"	"2"	"756.19"	"121"
"0261"	"2"	"756.16"	"37"
"0261"	"2"	"756.15"	"420"
"0261"	"2"	"756.02"	"144"
"0261"	"2"	"756.13"	"11"
"0261"	"2"	"756.12"	"23"
"0261"	"2"	"756.08"	"33"
"0261"	"2"	"756.18"	"61"
"0261"	"2"	"756.03"	"56"
"0261"	"2"	"756.07"	"3"
"0261"	"2"	"756.06"	"2"
"0261"	"2"	"756.17"	"2688"
"0261"	"2"	"756.14"	"5719"
"0261"	"2"	"756.11"	"19"
"0261"	"2"	"756.05"	"15"
"0261"	"2"	"756.20"	"10945"
"0261"	"2"	"756.04"	"2"
"0261"	"2"	"756.09"	"8"
"0261"	"2"	"756.01"	"816"
"0263"	"2"	"756.19"	"316"
"0263"	"2"	"756.16"	"1"
"0263"	"2"	"756.15"	"25"
"0263"	"2"	"756.02"	"749"
"0263"	"2"	"756.13"	"50"
"0263"	"2"	"756.12"	"45"
"0263"	"2"	"756.10"	"2332"
"0263"	"2"	"756.25"	"1724"
"0263"	"2"	"756.08"	"91"
"0263"	"2"	"756.18"	"44"
"0263"	"2"	"756.26"	"256"
"0263"	"2"	"756.03"	"5292"
"0263"	"2"	"756.24"	"265"
"0263"	"2"	"756.07"	"282"
"0263"	"2"	"756.06"	"285"
"0263"	"2"	"756.17"	"90"
"0263"	"2"	"756.14"	"101"
"0263"	"2"	"756.11"	"105"
"0263"	"2"	"756.05"	"81"
"0263"	"2"	"756.20"	"189"
"0263"	"2"	"756.21"	"472"
"0263"	"2"	"756.04"	"187"
"0263"	"2"	"756.22"	"51197"
"0263"	"2"	"756.23"	"2646"
"0263"	"2"	"756.09"	"1897"
"0263"	"2"	"756.01"	"708"
"0290"	"2"	"756.19"	"88045"
"0290"	"2"	"756.16"	"1227"
"0290"	"2"	"756.15"	"1789"
"0290"	"2"	"756.02"	"29937"
"0290"	"2"	"756.13"	"18829"
"0290"	"2"	"756.12"	"7072"
"0290"	"2"	"756.10"	"16466"
"0290"	"2"	"756.25"	"9254"
"0290"	"2"	"756.08"	"3598"
