"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0008"	"3"	"756.19"	"95380"
"0008"	"3"	"756.16"	"3004"
"0008"	"3"	"756.15"	"4653"
"0008"	"3"	"756.02"	"38310"
"0008"	"3"	"756.13"	"30623"
"0008"	"3"	"756.12"	"5456"
"0008"	"3"	"756.10"	"78088"
"0008"	"3"	"756.25"	"26635"
"0008"	"3"	"756.08"	"2929"
"0008"	"3"	"756.18"	"10916"
"0008"	"3"	"756.26"	"13667"
"0008"	"3"	"756.03"	"107310"
"0008"	"3"	"756.24"	"17020"
"0008"	"3"	"756.07"	"8838"
"0008"	"3"	"756.06"	"10902"
"0008"	"3"	"756.17"	"91882"
"0008"	"3"	"756.14"	"3073"
"0008"	"3"	"756.11"	"43998"
"0008"	"3"	"756.05"	"44837"
"0008"	"3"	"756.20"	"21698"
"0008"	"3"	"756.21"	"25000"
"0008"	"3"	"756.04"	"7690"
"0008"	"3"	"756.22"	"45489"
"0008"	"3"	"756.23"	"63083"
"0008"	"3"	"756.09"	"22035"
"0008"	"3"	"756.01"	"98260"
"0032"	"3"	"756.19"	"17528"
"0032"	"3"	"756.16"	"6"
"0032"	"3"	"756.15"	"33"
"0032"	"3"	"756.02"	"493"
"0032"	"3"	"756.13"	"391"
"0032"	"3"	"756.12"	"149"
"0032"	"3"	"756.10"	"141"
"0032"	"3"	"756.25"	"321"
"0032"	"3"	"756.08"	"40"
"0032"	"3"	"756.18"	"1909"
"0032"	"3"	"756.26"	"14"
"0032"	"3"	"756.03"	"201"
"0032"	"3"	"756.24"	"52"
"0032"	"3"	"756.07"	"62"
"0032"	"3"	"756.06"	"75"
"0032"	"3"	"756.17"	"303"
"0032"	"3"	"756.14"	"121"
"0032"	"3"	"756.11"	"335"
"0032"	"3"	"756.05"	"178"
"0032"	"3"	"756.20"	"1002"
"0032"	"3"	"756.21"	"444"
"0032"	"3"	"756.04"	"9"
"0032"	"3"	"756.22"	"450"
"0032"	"3"	"756.23"	"98"
"0032"	"3"	"756.09"	"218"
"0032"	"3"	"756.01"	"7605"
"0057"	"3"	"756.19"	"37"
"0057"	"3"	"756.15"	"3"
"0057"	"3"	"756.02"	"1417"
"0057"	"3"	"756.13"	"66"
"0057"	"3"	"756.12"	"18"
"0057"	"3"	"756.10"	"119"
"0057"	"3"	"756.25"	"1999"
"0057"	"3"	"756.08"	"10"
