"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0008"	"4"	"756.19"	"96611"
"0008"	"4"	"756.16"	"2951"
"0008"	"4"	"756.15"	"4226"
"0008"	"4"	"756.02"	"31869"
"0008"	"4"	"756.13"	"30018"
"0008"	"4"	"756.12"	"5853"
"0008"	"4"	"756.10"	"78088"
"0008"	"4"	"756.25"	"31463"
"0008"	"4"	"756.08"	"2174"
"0008"	"4"	"756.18"	"9412"
"0008"	"4"	"756.26"	"10879"
"0008"	"4"	"756.03"	"104621"
"0008"	"4"	"756.24"	"16861"
"0008"	"4"	"756.07"	"9004"
"0008"	"4"	"756.06"	"11099"
"0008"	"4"	"756.17"	"87194"
"0008"	"4"	"756.14"	"3012"
"0008"	"4"	"756.11"	"42007"
"0008"	"4"	"756.05"	"44436"
"0008"	"4"	"756.20"	"20650"
"0008"	"4"	"756.21"	"22623"
"0008"	"4"	"756.04"	"6332"
"0008"	"4"	"756.22"	"44389"
"0008"	"4"	"756.23"	"53634"
"0008"	"4"	"756.09"	"22550"
"0008"	"4"	"756.01"	"98461"
"0032"	"4"	"756.19"	"17570"
"0032"	"4"	"756.16"	"6"
"0032"	"4"	"756.15"	"39"
"0032"	"4"	"756.02"	"506"
"0032"	"4"	"756.13"	"365"
"0032"	"4"	"756.12"	"153"
"0032"	"4"	"756.10"	"138"
"0032"	"4"	"756.25"	"293"
"0032"	"4"	"756.08"	"32"
"0032"	"4"	"756.18"	"1931"
"0032"	"4"	"756.26"	"14"
"0032"	"4"	"756.03"	"193"
"0032"	"4"	"756.24"	"45"
"0032"	"4"	"756.07"	"57"
"0032"	"4"	"756.06"	"77"
"0032"	"4"	"756.17"	"309"
"0032"	"4"	"756.14"	"118"
"0032"	"4"	"756.11"	"326"
"0032"	"4"	"756.05"	"199"
"0032"	"4"	"756.20"	"853"
"0032"	"4"	"756.21"	"411"
"0032"	"4"	"756.04"	"10"
"0032"	"4"	"756.22"	"416"
"0032"	"4"	"756.23"	"103"
"0032"	"4"	"756.09"	"223"
"0032"	"4"	"756.01"	"7656"
"0057"	"4"	"756.19"	"558"
"0057"	"4"	"756.15"	"3"
"0057"	"4"	"756.02"	"1082"
"0057"	"4"	"756.13"	"367"
"0057"	"4"	"756.12"	"95"
"0057"	"4"	"756.10"	"113"
"0057"	"4"	"756.25"	"1744"
"0057"	"4"	"756.08"	"10"
"0057"	"4"	"756.18"	"44"
"0057"	"4"	"756.26"	"11"
"0057"	"4"	"756.03"	"27"
"0057"	"4"	"756.24"	"56"
"0057"	"4"	"756.07"	"0"
"0057"	"4"	"756.06"	"7"
"0057"	"4"	"756.17"	"80"
"0057"	"4"	"756.14"	"10"
"0057"	"4"	"756.11"	"560"
"0057"	"4"	"756.05"	"13"
"0057"	"4"	"756.20"	"69"
"0057"	"4"	"756.21"	"259"
"0057"	"4"	"756.04"	"3"
"0057"	"4"	"756.22"	"2497"
"0057"	"4"	"756.23"	"805"
"0057"	"4"	"756.09"	"4"
"0057"	"4"	"756.01"	"514"
"0062"	"4"	"756.19"	"4388"
"0062"	"4"	"756.16"	"14"
"0062"	"4"	"756.15"	"56"
"0062"	"4"	"756.02"	"2674"
"0062"	"4"	"756.13"	"475"
"0062"	"4"	"756.12"	"287"
"0062"	"4"	"756.10"	"958"
"0062"	"4"	"756.25"	"3631"
"0062"	"4"	"756.08"	"58"
"0062"	"4"	"756.18"	"618"
"0062"	"4"	"756.26"	"130"
"0062"	"4"	"756.03"	"260"
"0062"	"4"	"756.24"	"1338"
"0062"	"4"	"756.07"	"46"
"0062"	"4"	"756.06"	"68"
"0062"	"4"	"756.17"	"390"
"0062"	"4"	"756.14"	"296"
"0062"	"4"	"756.11"	"383"
"0062"	"4"	"756.05"	"241"
"0062"	"4"	"756.20"	"669"
"0062"	"4"	"756.21"	"9925"
"0062"	"4"	"756.04"	"34"
"0062"	"4"	"756.22"	"17458"
"0062"	"4"	"756.23"	"1519"
"0062"	"4"	"756.09"	"87"
"0062"	"4"	"756.01"	"2549"
"0097"	"4"	"756.08"	"841"
"0097"	"4"	"756.18"	"4"
"0097"	"4"	"756.17"	"22"
"0097"	"4"	"756.05"	"6"
"0134"	"4"	"756.08"	"4"
"0134"	"4"	"756.03"	"11"
"0134"	"4"	"756.17"	"32"
"0134"	"4"	"756.05"	"3529"
"0134"	"4"	"756.04"	"3"
"0134"	"4"	"756.09"	"25"
"0134"	"4"	"756.01"	"124"
"0160"	"4"	"756.19"	"1331"
"0160"	"4"	"756.16"	"1"
"0160"	"4"	"756.15"	"10"
"0160"	"4"	"756.02"	"9801"
"0160"	"4"	"756.13"	"45"
"0160"	"4"	"756.12"	"20"
"0160"	"4"	"756.10"	"12979"
"0160"	"4"	"756.25"	"1141"
"0160"	"4"	"756.08"	"12"
"0160"	"4"	"756.18"	"27"
"0160"	"4"	"756.26"	"288"
"0160"	"4"	"756.03"	"74"
"0160"	"4"	"756.24"	"7447"
"0160"	"4"	"756.07"	"20"
