"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0008"	"5"	"756.19"	"95038"
"0008"	"5"	"756.16"	"2830"
"0008"	"5"	"756.15"	"3360"
"0008"	"5"	"756.02"	"25064"
"0008"	"5"	"756.13"	"28065"
"0008"	"5"	"756.12"	"6054"
"0008"	"5"	"756.10"	"79683"
"0008"	"5"	"756.25"	"37492"
"0008"	"5"	"756.08"	"1713"
"0008"	"5"	"756.18"	"7422"
"0008"	"5"	"756.26"	"9916"
"0008"	"5"	"756.03"	"98922"
"0008"	"5"	"756.24"	"17934"
"0008"	"5"	"756.07"	"9080"
"0008"	"5"	"756.06"	"10377"
"0008"	"5"	"756.17"	"81596"
"0008"	"5"	"756.14"	"2720"
"0008"	"5"	"756.11"	"33914"
"0008"	"5"	"756.05"	"43561"
"0008"	"5"	"756.20"	"21172"
"0008"	"5"	"756.21"	"20804"
"0008"	"5"	"756.04"	"5093"
"0008"	"5"	"756.22"	"45147"
"0008"	"5"	"756.23"	"45272"
"0008"	"5"	"756.09"	"23143"
"0008"	"5"	"756.01"	"102631"
"0032"	"5"	"756.19"	"18221"
"0032"	"5"	"756.16"	"10"
"0032"	"5"	"756.15"	"35"
"0032"	"5"	"756.02"	"491"
"0032"	"5"	"756.13"	"354"
"0032"	"5"	"756.12"	"134"
"0032"	"5"	"756.10"	"161"
"0032"	"5"	"756.25"	"276"
"0032"	"5"	"756.08"	"236"
"0032"	"5"	"756.18"	"2932"
"0032"	"5"	"756.26"	"9"
"0032"	"5"	"756.03"	"225"
"0032"	"5"	"756.24"	"34"
"0032"	"5"	"756.07"	"399"
"0032"	"5"	"756.06"	"503"
"0032"	"5"	"756.17"	"339"
"0032"	"5"	"756.14"	"131"
"0032"	"5"	"756.11"	"313"
"0032"	"5"	"756.05"	"1405"
"0032"	"5"	"756.20"	"690"
"0032"	"5"	"756.21"	"402"
"0032"	"5"	"756.04"	"14"
"0032"	"5"	"756.22"	"554"
"0032"	"5"	"756.23"	"99"
"0032"	"5"	"756.09"	"223"
"0032"	"5"	"756.01"	"8526"
"0057"	"5"	"756.19"	"2403"
"0057"	"5"	"756.15"	"3"
"0057"	"5"	"756.02"	"805"
"0057"	"5"	"756.13"	"1470"
"0057"	"5"	"756.12"	"596"
"0057"	"5"	"756.10"	"142"
"0057"	"5"	"756.25"	"1523"
"0057"	"5"	"756.08"	"10"
"0057"	"5"	"756.18"	"32"
"0057"	"5"	"756.26"	"10"
"0057"	"5"	"756.03"	"388"
"0057"	"5"	"756.24"	"45"
"0057"	"5"	"756.07"	"35"
"0057"	"5"	"756.06"	"17"
"0057"	"5"	"756.17"	"90"
"0057"	"5"	"756.14"	"8"
"0057"	"5"	"756.11"	"2700"
"0057"	"5"	"756.05"	"19"
"0057"	"5"	"756.20"	"65"
"0057"	"5"	"756.21"	"229"
"0057"	"5"	"756.04"	"4"
"0057"	"5"	"756.22"	"2195"
"0057"	"5"	"756.23"	"1248"
"0057"	"5"	"756.09"	"14"
"0057"	"5"	"756.01"	"392"
"0062"	"5"	"756.19"	"1203"
"0062"	"5"	"756.16"	"7"
"0062"	"5"	"756.15"	"47"
"0062"	"5"	"756.02"	"1862"
"0062"	"5"	"756.13"	"533"
"0062"	"5"	"756.12"	"251"
"0062"	"5"	"756.10"	"932"
"0062"	"5"	"756.25"	"3501"
"0062"	"5"	"756.08"	"50"
"0062"	"5"	"756.18"	"229"
"0062"	"5"	"756.26"	"152"
"0062"	"5"	"756.03"	"161"
"0062"	"5"	"756.24"	"2372"
"0062"	"5"	"756.07"	"38"
"0062"	"5"	"756.06"	"37"
"0062"	"5"	"756.17"	"375"
"0062"	"5"	"756.14"	"87"
"0062"	"5"	"756.11"	"260"
"0062"	"5"	"756.05"	"130"
"0062"	"5"	"756.20"	"183"
"0062"	"5"	"756.21"	"10149"
"0062"	"5"	"756.04"	"24"
"0062"	"5"	"756.22"	"20113"
"0062"	"5"	"756.23"	"2056"
"0062"	"5"	"756.09"	"70"
"0062"	"5"	"756.01"	"1759"
"0134"	"5"	"756.08"	"8"
"0134"	"5"	"756.03"	"30"
"0134"	"5"	"756.07"	"4"
"0134"	"5"	"756.17"	"43"
"0134"	"5"	"756.05"	"3355"
"0134"	"5"	"756.04"	"3"
"0134"	"5"	"756.09"	"52"
"0134"	"5"	"756.01"	"186"
"0182"	"5"	"756.19"	"2386"
"0182"	"5"	"756.16"	"31"
"0182"	"5"	"756.15"	"225"
"0182"	"5"	"756.02"	"2293"
"0182"	"5"	"756.13"	"403"
"0182"	"5"	"756.12"	"150"
"0182"	"5"	"756.10"	"344"
"0182"	"5"	"756.25"	"768"
"0182"	"5"	"756.08"	"59"
"0182"	"5"	"756.18"	"224"
"0182"	"5"	"756.26"	"19"
"0182"	"5"	"756.03"	"343"
"0182"	"5"	"756.24"	"181"
"0182"	"5"	"756.07"	"55"
"0182"	"5"	"756.06"	"89"
"0182"	"5"	"756.17"	"7169"
"0182"	"5"	"756.14"	"1223"
"0182"	"5"	"756.11"	"4604"
"0182"	"5"	"756.05"	"323"
"0182"	"5"	"756.20"	"3761"
"0182"	"5"	"756.21"	"90"
"0182"	"5"	"756.04"	"71"
"0182"	"5"	"756.22"	"471"
"0182"	"5"	"756.23"	"95"
"0182"	"5"	"756.09"	"209"
"0182"	"5"	"756.01"	"34545"
"0194"	"5"	"756.19"	"558"
"0194"	"5"	"756.16"	"5"
"0194"	"5"	"756.15"	"25"
"0194"	"5"	"756.02"	"17785"
"0194"	"5"	"756.13"	"289"
"0194"	"5"	"756.12"	"80"
"0194"	"5"	"756.10"	"230"
"0194"	"5"	"756.08"	"14"
"0194"	"5"	"756.18"	"89"
"0194"	"5"	"756.03"	"185"
"0194"	"5"	"756.07"	"11"
"0194"	"5"	"756.06"	"17"
"0194"	"5"	"756.17"	"71"
"0194"	"5"	"756.14"	"61"
"0194"	"5"	"756.11"	"681"
"0194"	"5"	"756.05"	"81"
"0194"	"5"	"756.20"	"145"
"0194"	"5"	"756.04"	"16"
"0194"	"5"	"756.23"	"67"
"0194"	"5"	"756.09"	"66"
"0194"	"5"	"756.01"	"692"
"0246"	"5"	"756.19"	"707"
"0246"	"5"	"756.02"	"5240"
"0246"	"5"	"756.11"	"519"
"0246"	"5"	"756.01"	"1247"
"0290"	"5"	"756.19"	"89636"
"0290"	"5"	"756.16"	"1436"
"0290"	"5"	"756.15"	"1554"
"0290"	"5"	"756.02"	"25716"
"0290"	"5"	"756.13"	"17030"
"0290"	"5"	"756.12"	"6455"
"0290"	"5"	"756.10"	"16181"
"0290"	"5"	"756.25"	"9257"
"0290"	"5"	"756.08"	"3269"
"0290"	"5"	"756.18"	"6725"
"0290"	"5"	"756.26"	"4717"
"0290"	"5"	"756.03"	"92320"
"0290"	"5"	"756.24"	"6385"
"0290"	"5"	"756.07"	"11675"
"0290"	"5"	"756.06"	"9690"
"0290"	"5"	"756.17"	"34850"
"0290"	"5"	"756.14"	"4305"
"0290"	"5"	"756.11"	"11678"
"0290"	"5"	"756.05"	"23068"
"0290"	"5"	"756.20"	"14364"
"0290"	"5"	"756.21"	"15236"
"0290"	"5"	"756.04"	"8825"
"0290"	"5"	"756.22"	"16693"
"0290"	"5"	"756.23"	"9779"
"0290"	"5"	"756.09"	"19702"
"0290"	"5"	"756.01"	"68317"
"0294"	"5"	"756.19"	"150"
"0294"	"5"	"756.16"	"1"
"0294"	"5"	"756.15"	"9"
"0294"	"5"	"756.02"	"104"
"0294"	"5"	"756.13"	"243"
"0294"	"5"	"756.12"	"9"
"0294"	"5"	"756.10"	"38"
"0294"	"5"	"756.08"	"2"
"0294"	"5"	"756.18"	"20"
