"C_ID";"G_ID";"JAHR";"B"
"AG";"0008";2006;91654
"AI";"0008";2006;3185
"AR";"0008";2006;5131
"BE";"0008";2006;48671
"BL";"0008";2006;30205
"BS";"0008";2006;5025
"FR";"0008";2006;76686
"GE";"0008";2006;22848
"GL";"0008";2006;4445
"GR";"0008";2006;15551
"JU";"0008";2006;18399
"LU";"0008";2006;105635
"NE";"0008";2006;15774
"NW";"0008";2006;8663
"OW";"0008";2006;10348
"SG";"0008";2006;94833
"SH";"0008";2006;2945
"SO";"0008";2006;44558
"SZ";"0008";2006;45276
"TG";"0008";2006;22885
"TI";"0008";2006;29220
"UR";"0008";2006;9290
"VD";"0008";2006;47645
"VS";"0008";2006;74315
"ZG";"0008";2006;22005
"ZH";"0008";2006;96386
"AG";"0032";2006;17640
"AI";"0032";2006;3
"AR";"0032";2006;35
"BE";"0032";2006;557
"BL";"0032";2006;419
"BS";"0032";2006;168
"FR";"0032";2006;129
"GE";"0032";2006;362
"GL";"0032";2006;50
"GR";"0032";2006;1383
"JU";"0032";2006;14
"LU";"0032";2006;199
"NE";"0032";2006;115
"NW";"0032";2006;58
"OW";"0032";2006;77
"SG";"0032";2006;312
"SH";"0032";2006;123
"SO";"0032";2006;337
"SZ";"0032";2006;159
"TG";"0032";2006;1267
"TI";"0032";2006;493
"UR";"0032";2006;7
"VD";"0032";2006;579
"VS";"0032";2006;116
"ZG";"0032";2006;214
"ZH";"0032";2006;7841
"AG";"0057";2006;46
"AR";"0057";2006;4
"BE";"0057";2006;2820
"BL";"0057";2006;75
"BS";"0057";2006;18
"FR";"0057";2006;146
"GE";"0057";2006;3109
"GL";"0057";2006;16
"GR";"0057";2006;59
"JU";"0057";2006;13
"LU";"0057";2006;18
"NE";"0057";2006;82
"NW";"0057";2006;5
"OW";"0057";2006;11
"SG";"0057";2006;126
"SH";"0057";2006;6
"SO";"0057";2006;114
"SZ";"0057";2006;13
"TG";"0057";2006;127
"TI";"0057";2006;358
"UR";"0057";2006;1
"VD";"0057";2006;4267
"VS";"0057";2006;1009
"ZG";"0057";2006;10
"ZH";"0057";2006;992
"AG";"0062";2006;286.82
"AI";"0062";2006;5
"AR";"0062";2006;61.34
"BE";"0062";2006;1655.26
"BL";"0062";2006;439.01
"BS";"0062";2006;332.67
"FR";"0062";2006;1234.91
"GE";"0062";2006;4090.84
"GL";"0062";2006;39.83
"GR";"0062";2006;185.16
"JU";"0062";2006;168.16
"LU";"0062";2006;215.34
"NE";"0062";2006;1147.36
"NW";"0062";2006;35.25
"OW";"0062";2006;12
"SG";"0062";2006;286.66
"SH";"0062";2006;78.41
"SO";"0062";2006;250.17
"SZ";"0062";2006;86.16
"TG";"0062";2006;190.5
"TI";"0062";2006;12231.92
"UR";"0062";2006;39
"VD";"0062";2006;20183.96
"VS";"0062";2006;1782.26
"ZG";"0062";2006;84.17
"ZH";"0062";2006;2847.08
"GL";"0097";2006;781
"SZ";"0134";2006;3246
"ZH";"0134";2006;106
"AG";"0160";2006;567.27
"AI";"0160";2006;1
"AR";"0160";2006;15.68
"BE";"0160";2006;9135.93
"BL";"0160";2006;41.99
"BS";"0160";2006;21.32
"FR";"0160";2006;8930.41
"GE";"0160";2006;1947.66
"GL";"0160";2006;11.01
"GR";"0160";2006;39.34
"JU";"0160";2006;398.94
"LU";"0160";2006;64.83
"NE";"0160";2006;7209.77
"NW";"0160";2006;10.07
"OW";"0160";2006;3.83
"SG";"0160";2006;233.67
"SH";"0160";2006;1
"SO";"0160";2006;210.25
"SZ";"0160";2006;18.33
"TG";"0160";2006;38.67
"TI";"0160";2006;12.17
"VD";"0160";2006;1220.24
"VS";"0160";2006;112.84
"ZG";"0160";2006;12.74
"ZH";"0160";2006;395.98
"LU";"0178";2006;980
"AG";"0182";2006;2475
"AI";"0182";2006;13
"AR";"0182";2006;103
"BE";"0182";2006;1353
"BL";"0182";2006;459
"BS";"0182";2006;146
"FR";"0182";2006;94
"GE";"0182";2006;1173
"GL";"0182";2006;32
"GR";"0182";2006;170
"JU";"0182";2006;24
"LU";"0182";2006;293
"NE";"0182";2006;76
"NW";"0182";2006;23
"OW";"0182";2006;15
"SG";"0182";2006;3905
"SH";"0182";2006;357
"SO";"0182";2006;1774
"SZ";"0182";2006;268
"TG";"0182";2006;2758
"TI";"0182";2006;86
"UR";"0182";2006;10
"VD";"0182";2006;563
"VS";"0182";2006;61
"ZG";"0182";2006;119
"ZH";"0182";2006;34177
"AG";"0194";2006;273
"AR";"0194";2006;8
"BE";"0194";2006;18799
"BL";"0194";2006;155
"BS";"0194";2006;32
"FR";"0194";2006;114
"GL";"0194";2006;8
"GR";"0194";2006;43
"LU";"0194";2006;125
"NW";"0194";2006;5
"OW";"0194";2006;9
"SG";"0194";2006;84
"SH";"0194";2006;22
"SO";"0194";2006;427
"SZ";"0194";2006;42
"TG";"0194";2006;49
"UR";"0194";2006;2
"VS";"0194";2006;31
"ZG";"0194";2006;36
"ZH";"0194";2006;817
"BE";"0216";2006;2.17
"BL";"0216";2006;1
"FR";"0216";2006;22.09
"GE";"0216";2006;21.66
"GL";"0216";2006;13
"NE";"0216";2006;4
"SG";"0216";2006;2
"SH";"0216";2006;1
"SZ";"0216";2006;1
"TG";"0216";2006;1
"TI";"0216";2006;2
"VD";"0216";2006;780.68
"VS";"0216";2006;1290.94
"ZG";"0216";2006;0.42
"ZH";"0216";2006;1.67
"AG";"0246";2006;21.41
"BE";"0246";2006;5720.71
"SO";"0246";2006;30.01
"ZH";"0246";2006;43.08
"AG";"0261";2006;85
"AI";"0261";2006;37
"AR";"0261";2006;391
"BE";"0261";2006;104
"BL";"0261";2006;6
"BS";"0261";2006;13
"GL";"0261";2006;42
"GR";"0261";2006;58
"LU";"0261";2006;37
"NW";"0261";2006;2
"OW";"0261";2006;1
"SG";"0261";2006;2669
"SH";"0261";2006;6103
"SO";"0261";2006;18
"SZ";"0261";2006;11
"TG";"0261";2006;11559
"UR";"0261";2006;1
"ZG";"0261";2006;4
"ZH";"0261";2006;693
"AG";"0263";2006;336.72
"AI";"0263";2006;1
"AR";"0263";2006;28.25
"BE";"0263";2006;875.6
"BL";"0263";2006;57.07
"BS";"0263";2006;47.09
"FR";"0263";2006;2481.13
"GE";"0263";2006;1856.62
"GL";"0263";2006;92.61
"GR";"0263";2006;42.42
"JU";"0263";2006;266.93
"LU";"0263";2006;5551.12
"NE";"0263";2006;271.95
"NW";"0263";2006;318.68
"OW";"0263";2006;307.15
"SG";"0263";2006;97.43
"SH";"0263";2006;126.34
"SO";"0263";2006;111.25
"SZ";"0263";2006;78.82
"TG";"0263";2006;225.09
"TI";"0263";2006;491.17
"UR";"0263";2006;206.07
"VD";"0263";2006;47978.96
"VS";"0263";2006;2734.75
"ZG";"0263";2006;1498.23
"ZH";"0263";2006;721.94
"AG";"0290";2006;88819.9133333
"AI";"0290";2006;1251.416666744
"AR";"0290";2006;1814.08333335
"BE";"0290";2006;31268.086667047
"BL";"0290";2006;19277.496666397
"BS";"0290";2006;7230.16666691
"FR";"0290";2006;16681.170000287
"GE";"0290";2006;9684.66666673
"GL";"0290";2006;3664.083333437
"GR";"0290";2006;6559.749999914
"JU";"0290";2006;5547.749999863
"LU";"0290";2006;92358.1866663
"NE";"0290";2006;1815.49999997
"NW";"0290";2006;11270.249999973
"OW";"0290";2006;9037.50000009
"SG";"0290";2006;34597.74333343
"SH";"0290";2006;4403.666666547
"SO";"0290";2006;13311.24666653
"SZ";"0290";2006;23752.0100001
"TG";"0290";2006;14997.25666676
"TI";"0290";2006;13720.586666633
"UR";"0290";2006;9687.1633334
"VD";"0290";2006;6427.91666664
"VS";"0290";2006;9184.916666643
"ZG";"0290";2006;19373.8333336
"ZH";"0290";2006;72615.18000016
"LU";"0294";2006;8866
"AG";"0312";2006;18124.09
"AI";"0312";2006;67.67
"AR";"0312";2006;1468.51
"BE";"0312";2006;19138.52
"BL";"0312";2006;9014.99
"BS";"0312";2006;3582.4
"FR";"0312";2006;4138.5
"GE";"0312";2006;2003.35
"GL";"0312";2006;1362.41
"GR";"0312";2006;1210.05
"JU";"0312";2006;1008.17
"LU";"0312";2006;7982.93
"NE";"0312";2006;1786.1
"NW";"0312";2006;455.44
"OW";"0312";2006;452.84
"SG";"0312";2006;9431.84
"SH";"0312";2006;2995.65
"SO";"0312";2006;11840.41
"SZ";"0312";2006;3871.07
"TG";"0312";2006;7899.58
"TI";"0312";2006;13625.92
"UR";"0312";2006;2098.67
"VD";"0312";2006;10765.24
"VS";"0312";2006;7911.3
"ZG";"0312";2006;2347.76
"ZH";"0312";2006;26010.23
"AG";"0343";2006;11686.93
"AI";"0343";2006;39.25
"AR";"0343";2006;271.66
"BE";"0343";2006;30435.13
"BL";"0343";2006;5779.8
"BS";"0343";2006;6665.17
"FR";"0343";2006;10621.42
"GE";"0343";2006;8028.23
"GL";"0343";2006;2218.35
"GR";"0343";2006;586
"JU";"0343";2006;180.62
"LU";"0343";2006;229.89
"NE";"0343";2006;373.46
"NW";"0343";2006;26.57
"OW";"0343";2006;21.58
"SG";"0343";2006;1417.1
"SH";"0343";2006;1744.47
