"C_ID";"G_ID";"JAHR";"B"
"AG";"0008";2007;93742.3
"AI";"0008";2007;3052
"AR";"0008";2007;4842
"BE";"0008";2007;44178
"BL";"0008";2007;30181
"BS";"0008";2007;5162
"FR";"0008";2007;77517
"GE";"0008";2007;24764
"GL";"0008";2007;3771
"GR";"0008";2007;13152
"JU";"0008";2007;15991
"LU";"0008";2007;106491
"NE";"0008";2007;16626
"NW";"0008";2007;8711
"OW";"0008";2007;10674
"SG";"0008";2007;93690
"SH";"0008";2007;3037
"SO";"0008";2007;44863
"SZ";"0008";2007;45139
"TG";"0008";2007;22278
"TI";"0008";2007;27053
"UR";"0008";2007;8818
"VD";"0008";2007;46257
"VS";"0008";2007;69826
"ZG";"0008";2007;22128
"ZH";"0008";2007;97741
"AG";"0032";2007;17444
"AI";"0032";2007;7
"AR";"0032";2007;32
"BE";"0032";2007;525
"BL";"0032";2007;418
"BS";"0032";2007;153
"FR";"0032";2007;139
"GE";"0032";2007;340
"GL";"0032";2007;55
"GR";"0032";2007;1763
"JU";"0032";2007;14
"LU";"0032";2007;211
"NE";"0032";2007;66
"NW";"0032";2007;60
"OW";"0032";2007;77
"SG";"0032";2007;310
"SH";"0032";2007;112
"SO";"0032";2007;335
"SZ";"0032";2007;166
"TG";"0032";2007;1161
"TI";"0032";2007;477
"UR";"0032";2007;9
"VD";"0032";2007;524
"VS";"0032";2007;113
"ZG";"0032";2007;213
"ZH";"0032";2007;7695
"AG";"0057";2007;35.0267
"AR";"0057";2007;3.0023
"BE";"0057";2007;1965.5608
"BL";"0057";2007;76.6481
"BS";"0057";2007;21.2661
"FR";"0057";2007;138.1848
"GE";"0057";2007;2424.6569
"GL";"0057";2007;14.5112
"GR";"0057";2007;47.4553
"JU";"0057";2007;14.6813
"LU";"0057";2007;20.845
"NE";"0057";2007;77.8891
"OW";"0057";2007;9.5076
"SG";"0057";2007;105.7489
"SH";"0057";2007;8.176
"SO";"0057";2007;249.2678
"SZ";"0057";2007;12.8399
"TG";"0057";2007;99.8255
"TI";"0057";2007;303.819
"UR";"0057";2007;1.5012
"VD";"0057";2007;3474.0381
"VS";"0057";2007;953.4688
"ZG";"0057";2007;6.675
"ZH";"0057";2007;763.2354
"AG";"0062";2007;245.666666666667
"AI";"0062";2007;6
"AR";"0062";2007;54.0833333333333
"BE";"0062";2007;1480.5
"BL";"0062";2007;399.083333333333
"BS";"0062";2007;295.5
