"C_ID";"G_ID";"JAHR";"B"
"AG";"0008";2008;95379.8736
"AI";"0008";2008;3003.8309
"AR";"0008";2008;4652.7106
"BE";"0008";2008;38309.5714
"BL";"0008";2008;30623.4398
"BS";"0008";2008;5456.2568
"FR";"0008";2008;78087.5337
"GE";"0008";2008;26634.7409
"GL";"0008";2008;2928.7995
"GR";"0008";2008;10916.4237
"JU";"0008";2008;13667.0007
"LU";"0008";2008;107310.2144
"NE";"0008";2008;17019.678
"NW";"0008";2008;8838.3067
"OW";"0008";2008;10901.5435
"SG";"0008";2008;91882.2064
"SH";"0008";2008;3073.0083
"SO";"0008";2008;43997.6744
"SZ";"0008";2008;44837.45
"TG";"0008";2008;21697.9741
"TI";"0008";2008;25000.1061
"UR";"0008";2008;7690.1323
"VD";"0008";2008;45489.4843
"VS";"0008";2008;63083.1919999998
"ZG";"0008";2008;22035.1653
"ZH";"0008";2008;98260.0486000001
"AG";"0032";2008;17528
"AI";"0032";2008;6
"AR";"0032";2008;33
"BE";"0032";2008;493
"BL";"0032";2008;391
"BS";"0032";2008;149
"FR";"0032";2008;141
"GE";"0032";2008;321
"GL";"0032";2008;40
"GR";"0032";2008;1909
"JU";"0032";2008;14
"LU";"0032";2008;201
"NE";"0032";2008;52
"NW";"0032";2008;62
"OW";"0032";2008;75
"SG";"0032";2008;303
"SH";"0032";2008;121
"SO";"0032";2008;335
"SZ";"0032";2008;178
"TG";"0032";2008;1002
"TI";"0032";2008;444
"UR";"0032";2008;9
"VD";"0032";2008;450
"VS";"0032";2008;98
"ZG";"0032";2008;218
"ZH";"0032";2008;7605
"AG";"0057";2008;37.1142105864868
"AR";"0057";2008;3.00926031782325
"BE";"0057";2008;1417.35543614954
"BL";"0057";2008;66.2037269921116
"BS";"0057";2008;18.0555619069395
"FR";"0057";2008;119.367325940322
"GE";"0057";2008;1999.15193780725
"GL";"0057";2008;10.0308677260775
"GR";"0057";2008;40.1234709043101
"JU";"0057";2008;13.0401280439007
"LU";"0057";2008;18.0555619069395
"NE";"0057";2008;67.2068137647193
"OW";"0057";2008;9.02778095346975
"SG";"0057";2008;81.2500285812278
"SH";"0057";2008;8.02469418086199
"SO";"0057";2008;170.524751343318
"SZ";"0057";2008;9.02778095346977
"TG";"0057";2008;74.2284211729736
"TI";"0057";2008;272.839602149308
"UR";"0057";2008;2.0061735452155
"VD";"0057";2008;2880.86521092946
"VS";"0057";2008;836.574368354865
"ZG";"0057";2008;2.00617354521551
"ZH";"0057";2008;618.904538698983
"AG";"0062";2008;230.916666666667
"AI";"0062";2008;6
"AR";"0062";2008;47.75
"BE";"0062";2008;1332.66666666667
"BL";"0062";2008;371
"BS";"0062";2008;241.5
"FR";"0062";2008;1038.83333333333
"GE";"0062";2008;3765.08333333334
"GL";"0062";2008;29.9166666666667
"GR";"0062";2008;168.166666666667
"JU";"0062";2008;140.666666666667
"LU";"0062";2008;162.583333333333
"NE";"0062";2008;1297
"NW";"0062";2008;32.0833333333333
"OW";"0062";2008;13.75
"SG";"0062";2008;200.833333333333
"SH";"0062";2008;60.75
"SO";"0062";2008;199.583333333333
"SZ";"0062";2008;82.1666666666667
"TG";"0062";2008;155.25
"TI";"0062";2008;10588.6666666667
"UR";"0062";2008;33.9166666666667
"VD";"0062";2008;17809.9166666666
"VS";"0062";2008;1560.75
"ZG";"0062";2008;73.5833333333333
"ZH";"0062";2008;2057.75
"GL";"0097";2008;822
"NW";"0097";2008;2
"SG";"0097";2008;19
"SZ";"0097";2008;6
"ZH";"0097";2008;112
"GL";"0134";2008;3
"LU";"0134";2008;12
"SG";"0134";2008;30
"SZ";"0134";2008;3428
"UR";"0134";2008;3
"ZG";"0134";2008;22
"ZH";"0134";2008;116
"AG";"0160";2008;1418.51
"AI";"0160";2008;0.84
"AR";"0160";2008;10.75
"BE";"0160";2008;9930.93
"BL";"0160";2008;41.42
"BS";"0160";2008;21.91
"FR";"0160";2008;10394.71
"GE";"0160";2008;1420.22
"GL";"0160";2008;12
"GR";"0160";2008;28.83
"JU";"0160";2008;368
"LU";"0160";2008;71.75
"NE";"0160";2008;7503.53
"NW";"0160";2008;20.16
"OW";"0160";2008;22.57
"SG";"0160";2008;172.64
"SH";"0160";2008;1
"SO";"0160";2008;187.38
"SZ";"0160";2008;14.82
"TG";"0160";2008;41.34
"TI";"0160";2008;18.08
"UR";"0160";2008;1
"VD";"0160";2008;985.09
"VS";"0160";2008;122.97
"ZG";"0160";2008;14.76
"ZH";"0160";2008;378.31
"AG";"0182";2008;2843.5
"AI";"0182";2008;13.1666666666667
"AR";"0182";2008;105.333333333333
"BE";"0182";2008;1810.33333333333
"BL";"0182";2008;479
"BS";"0182";2008;149.666666666667
"FR";"0182";2008;138
"GE";"0182";2008;986.833333333334
"GL";"0182";2008;43.5
"GR";"0182";2008;185.666666666667
"JU";"0182";2008;20
"LU";"0182";2008;342
"NE";"0182";2008;82.5
"NW";"0182";2008;23.5
"OW";"0182";2008;33
"SG";"0182";2008;5931.16666666666
"SH";"0182";2008;655.166666666667
"SO";"0182";2008;1831.33333333333
"SZ";"0182";2008;273
"TG";"0182";2008;3399.33333333333
"TI";"0182";2008;88.8333333333333
"UR";"0182";2008;15.1666666666667
"VD";"0182";2008;484.5
"VS";"0182";2008;67.8333333333333
"ZG";"0182";2008;127.666666666667
"ZH";"0182";2008;39821
"AG";"0194";2008;410.74
"AI";"0194";2008;3.58
"AR";"0194";2008;17.17
"BE";"0194";2008;20528
"BL";"0194";2008;182
"BS";"0194";2008;54.92
"FR";"0194";2008;185
"GL";"0194";2008;9.92
