"C_ID";"G_ID";"JAHR";"B"
"AG";"0008";2009;96611.008
"AI";"0008";2009;2951.374
"AR";"0008";2009;4226.169
"BE";"0008";2009;31868.593
"BL";"0008";2009;30017.855
"BS";"0008";2009;5852.817
"FR";"0008";2009;78087.965
"GE";"0008";2009;31463.43
"GL";"0008";2009;2174.465
"GR";"0008";2009;9411.813
"JU";"0008";2009;10879.208
"LU";"0008";2009;104621.347
"NE";"0008";2009;16861.342
"NW";"0008";2009;9004.059
"OW";"0008";2009;11099.139
"SG";"0008";2009;87193.9559999999
"SH";"0008";2009;3012.048
"SO";"0008";2009;42007.13
"SZ";"0008";2009;44436.414
"TG";"0008";2009;20649.719
"TI";"0008";2009;22622.81
"UR";"0008";2009;6331.964
"VD";"0008";2009;44389.161
"VS";"0008";2009;53633.544
"ZG";"0008";2009;22549.845
"ZH";"0008";2009;98461.246
"AG";"0032";2009;17570
"AI";"0032";2009;6
"AR";"0032";2009;39
"BE";"0032";2009;506
"BL";"0032";2009;365
"BS";"0032";2009;153
"FR";"0032";2009;138
"GE";"0032";2009;293
"GL";"0032";2009;32
"GR";"0032";2009;1931
"JU";"0032";2009;14
"LU";"0032";2009;193
"NE";"0032";2009;45
"NW";"0032";2009;57
"OW";"0032";2009;77
"SG";"0032";2009;309
"SH";"0032";2009;118
"SO";"0032";2009;326
"SZ";"0032";2009;199
"TG";"0032";2009;853
"TI";"0032";2009;411
"UR";"0032";2009;10
"VD";"0032";2009;416
"VS";"0032";2009;103
"ZG";"0032";2009;223
"ZH";"0032";2009;7656
"AG";"0057";2009;557.53
"AR";"0057";2009;3
"BE";"0057";2009;1081.82
"BL";"0057";2009;367.34
"BS";"0057";2009;94.59
"FR";"0057";2009;113.01
"GE";"0057";2009;1744.49
"GL";"0057";2009;10
"GR";"0057";2009;43.92
"JU";"0057";2009;11.34
"LU";"0057";2009;26.57
"NE";"0057";2009;55.75
"NW";"0057";2009;0.25
"OW";"0057";2009;7
"SG";"0057";2009;79.69
"SH";"0057";2009;9.5
"SO";"0057";2009;559.73
"SZ";"0057";2009;12.5
"TG";"0057";2009;69.41
"TI";"0057";2009;258.83
"UR";"0057";2009;3
"VD";"0057";2009;2496.51
"VS";"0057";2009;805.25
"ZG";"0057";2009;3.67
"ZH";"0057";2009;513.670000000001
"AG";"0062";2009;4388.16666666667
"AI";"0062";2009;14
"AR";"0062";2009;56.4166666666667
"BE";"0062";2009;2673.58333333334
"BL";"0062";2009;475.333333333334
"BS";"0062";2009;287
"FR";"0062";2009;958.416666666666
"GE";"0062";2009;3631.16666666667
"GL";"0062";2009;57.9166666666667
"GR";"0062";2009;618
"JU";"0062";2009;129.583333333333
"LU";"0062";2009;260.166666666666
"NE";"0062";2009;1338.33333333333
"NW";"0062";2009;45.9166666666667
"OW";"0062";2009;68.0833333333334
"SG";"0062";2009;389.833333333333
"SH";"0062";2009;296.083333333333
"SO";"0062";2009;382.916666666666
"SZ";"0062";2009;240.5
"TG";"0062";2009;668.916666666667
"TI";"0062";2009;9925.41666666667
"UR";"0062";2009;34.1666666666667
"VD";"0062";2009;17458.25
"VS";"0062";2009;1518.58333333333
"ZG";"0062";2009;87.1666666666667
"ZH";"0062";2009;2549
"GL";"0097";2009;841
"GR";"0097";2009;4
"SG";"0097";2009;22
"SZ";"0097";2009;6
"GL";"0134";2009;4
"LU";"0134";2009;11
"SG";"0134";2009;32
"SZ";"0134";2009;3529
"UR";"0134";2009;3
"ZG";"0134";2009;25
"ZH";"0134";2009;124
"AG";"0160";2009;1331.15
"AI";"0160";2009;0.92
"AR";"0160";2009;10.49
"BE";"0160";2009;9801.04
"BL";"0160";2009;44.92
"BS";"0160";2009;20.17
"FR";"0160";2009;12979.43
"GE";"0160";2009;1141.05
"GL";"0160";2009;12.08
"GR";"0160";2009;27.08
"JU";"0160";2009;287.92
"LU";"0160";2009;74.22
"NE";"0160";2009;7446.65
"NW";"0160";2009;19.75
"OW";"0160";2009;13.83
"SG";"0160";2009;799.83
"SH";"0160";2009;1.34
"SO";"0160";2009;167.73
"SZ";"0160";2009;13.75
"TG";"0160";2009;40.67
"TI";"0160";2009;18.83
"UR";"0160";2009;0.5
"VD";"0160";2009;846.14
"VS";"0160";2009;134.72
"ZG";"0160";2009;14.75
"ZH";"0160";2009;362.76
"AG";"0182";2009;2667.33333333333
"AI";"0182";2009;20.9166666666666
"AR";"0182";2009;133.25
"BE";"0182";2009;2166.66666666667
"BL";"0182";2009;475.5
"BS";"0182";2009;145
"FR";"0182";2009;174.5
"GE";"0182";2009;852.25
"GL";"0182";2009;43.25
"GR";"0182";2009;209.75
"JU";"0182";2009;21
"LU";"0182";2009;381.583333333333
"NE";"0182";2009;76.8333333333333
"NW";"0182";2009;37
"OW";"0182";2009;70
"SG";"0182";2009;5912.75
"SH";"0182";2009;886.75
"SO";"0182";2009;1904.91666666666
"SZ";"0182";2009;299.416666666667
"TG";"0182";2009;3900.75
"TI";"0182";2009;89
"UR";"0182";2009;17.9166666666667
"VD";"0182";2009;424.083333333333
"VS";"0182";2009;73.4166666666666
"ZG";"0182";2009;144.25
"ZH";"0182";2009;39610.1666666667
"AG";"0194";2009;503
"AI";"0194";2009;5
"AR";"0194";2009;18
"BE";"0194";2009;21628
"BL";"0194";2009;215
"BS";"0194";2009;75
"FR";"0194";2009;225
"GL";"0194";2009;9
"GR";"0194";2009;53
"LU";"0194";2009;154
"NW";"0194";2009;10
"OW";"0194";2009;10
"SG";"0194";2009;75
"SH";"0194";2009;46
"SO";"0194";2009;588
"SZ";"0194";2009;67
"TG";"0194";2009;97
"UR";"0194";2009;9
"VS";"0194";2009;41
"ZG";"0194";2009;40
"ZH";"0194";2009;792
"AG";"0216";2009;1
"BE";"0216";2009;5.75
"BS";"0216";2009;0.5
"FR";"0216";2009;31.1666666666667
"GE";"0216";2009;17
"GL";"0216";2009;9.75
"NE";"0216";2009;8.66666666666666
"SG";"0216";2009;2
"SZ";"0216";2009;1
"TI";"0216";2009;2.25
"VD";"0216";2009;672.583333333334
"VS";"0216";2009;1098.41666666667
"ZG";"0216";2009;0.333333333333333
"ZH";"0216";2009;1
"AG";"0246";2009;684
"BE";"0246";2009;7899
"SO";"0246";2009;412
"ZH";"0246";2009;754
