Bevölkerung Population   VZ/RFP 2000;Gde;Kt Ct;PLZ  NPA ;Ortsbezeichnung                             Localité ;BFS-Nr.  No OFS;;Gemeinde                Commune  ;Region Région;Bezirk                                       District 
;;AG;;;;;;0;
;;AI;;;;;;0;
;;AR;;;;;;0;
3802;1;BE;3270;Aarberg;301;;Aarberg;2;AARBERG
;;BE;3270;Mühlethal;301;;Aarberg;2;AARBERG
;;BE;3270;Spins;301;;Aarberg;2;AARBERG
918;1;BE;3282;Bargen;302;;Bargen (BE);2;AARBERG
2800;1;BE;3257;Grossaffoltern;303;;Grossaffoltern;2;AARBERG
;;BE;3257;Ammerzwil;303;;Grossaffoltern;2;AARBERG
;;BE;3257;Chaltenbrünnen;303;;Grossaffoltern;2;AARBERG
;;BE;3262;Kosthofen;303;;Grossaffoltern;2;AARBERG
;;BE;3257;Ottiswil;303;;Grossaffoltern;2;AARBERG
;;BE;3262;Suberg;303;;Grossaffoltern;2;AARBERG
;;BE;3257;Vorimholz;303;;Grossaffoltern;2;AARBERG
;;BE;3257;Weingarten;303;;Grossaffoltern;2;AARBERG
1475;1;BE;3283;Kallnach;304;;Kallnach;2;AARBERG
1112;1;BE;3273;Kappelen;305;;Kappelen;2;AARBERG
;;BE;3273;Werdthof;305;;Kappelen;2;AARBERG
10659;1;BE;3250;Lyss;306;;Lyss;2;AARBERG
;;BE;3250;Hardern;306;;Lyss;2;AARBERG
2482;1;BE;3045;Meikirch;307;;Meikirch;2;AARBERG
;;BE;3045;Grächwil;307;;Meikirch;2;AARBERG
;;BE;3042;Ortschwaben *;307;;Meikirch;2;AARBERG
;;BE;3046;Wahlendorf;307;;Meikirch;2;AARBERG
;;BE;3045;Weissenstein *;307;;Meikirch;2;AARBERG
272;1;BE;3283;Niederried bei Kallnach;308;;Niederried bei Kallnach;2;AARBERG
1217;1;BE;3271;Radelfingen;309;;Radelfingen;2;AARBERG
;;BE;3036;Detligen;309;;Radelfingen;2;AARBERG
;;BE;3036;Jucher;309;;Radelfingen;2;AARBERG
;;BE;3036;Landerswil;309;;Radelfingen;2;AARBERG
;;BE;3036;Matzwil;309;;Radelfingen;2;AARBERG
;;BE;3036;Oberruntigen;309;;Radelfingen;2;AARBERG
;;BE;3036;Oltigen;309;;Radelfingen;2;AARBERG
;;BE;3036;Ostermanigen;309;;Radelfingen;2;AARBERG
;;BE;3036;Schmiede (Schmitten);309;;Radelfingen;2;AARBERG
1990;1;BE;3255;Rapperswil;310;;Rapperswil (BE);2;AARBERG
;;BE;3255;Bittwil bei Rapperswil;310;;Rapperswil (BE);2;AARBERG
;;BE;3256;Dieterswil;310;;Rapperswil (BE);2;AARBERG
;;BE;3255;Frauchwil;310;;Rapperswil (BE);2;AARBERG
;;BE;3053;Lätti;310;;Rapperswil (BE);2;AARBERG
;;BE;3256;Moosaffoltern;310;;Rapperswil (BE);2;AARBERG
;;BE;3256;Seewil;310;;Rapperswil (BE);2;AARBERG
;;BE;3255;Vogelsang;310;;Rapperswil (BE);2;AARBERG
;;BE;3255;Wierezwil;310;;Rapperswil (BE);2;AARBERG
;;BE;3255;Zimlisberg;310;;Rapperswil (BE);2;AARBERG
3318;1;BE;3054;Schüpfen;311;;Schüpfen;2;AARBERG
;;BE;3054;Allenwil;311;;Schüpfen;2;AARBERG
;;BE;3054;Bundkofen;311;;Schüpfen;2;AARBERG
;;BE;3054;Bütschwil;311;;Schüpfen;2;AARBERG
;;BE;3054;Hard;311;;Schüpfen;2;AARBERG
;;BE;3054;Saurenhorn;311;;Schüpfen;2;AARBERG
;;BE;3054;Schüpberg;311;;Schüpfen;2;AARBERG
;;BE;3054;Schwanden bei Schüpfen;311;;Schüpfen;2;AARBERG
;;BE;3054;Winterswil;311;;Schüpfen;2;AARBERG
;;BE;3054;Ziegelried;311;;Schüpfen;2;AARBERG
3144;1;BE;3267;Seedorf;312;;Seedorf (BE);2;AARBERG
;;BE;3267;Aspi bei Seedorf;312;;Seedorf (BE);2;AARBERG
;;BE;3267;Baggwil ;312;;Seedorf (BE);2;AARBERG
;;BE;3268;Dampfwil;312;;Seedorf (BE);2;AARBERG
;;BE;3267;Frienisberg;312;;Seedorf (BE);2;AARBERG
;;BE;3035;Frieswil;312;;Seedorf (BE);2;AARBERG
;;BE;3266;Grissenberg;312;;Seedorf (BE);2;AARBERG
;;BE;3268;Lobsigen;312;;Seedorf (BE);2;AARBERG
;;BE;3268;Ruchwil;312;;Seedorf (BE);2;AARBERG
;;BE;3266;Wiler bei Seedorf;312;;Seedorf (BE);2;AARBERG
4001;1;BE;4912;Aarwangen;321;;Aarwangen;3;AARWANGEN
;;BE;4912;Hard;321;;Aarwangen;3;AARWANGEN
;;BE;4912;Meiniswil;321;;Aarwangen;3;AARWANGEN
;;BE;4912;Mumenthal;321;;Aarwangen;3;AARWANGEN
505;1;BE;4944;Auswil;322;;Auswil;3;AARWANGEN
637;1;BE;4913;Bannwil;323;;Bannwil;3;AARWANGEN
;;BE;4913;Stalden;323;;Bannwil;3;AARWANGEN
722;1;BE;3368;Bleienbach;324;;Bleienbach;3;AARWANGEN
195;1;BE;4917;Busswil bei Melchnau;325;;Busswil bei Melchnau;3;AARWANGEN
734;1;BE;4955;Gondiswil;326;;Gondiswil;3;AARWANGEN
115;1;BE;4932;Gutenburg;327;;Gutenburg;3;AARWANGEN
536;1;BE;4936;Kleindietwil;328;;Kleindietwil;3;AARWANGEN
14078;1;BE;4900;Langenthal;329;;Langenthal;3;AARWANGEN
;;BE;4901;Langenthal;329;;Langenthal;3;AARWANGEN
;;BE;4902;Langenthal;329;;Langenthal;3;AARWANGEN
;;BE;4903;Langenthal;329;;Langenthal;3;AARWANGEN
;;BE;4903;Schoren Langenthal;329;;Langenthal;3;AARWANGEN
444;1;BE;4935;Leimiswil;330;;Leimiswil;3;AARWANGEN
;;BE;4935;Lindenholz;330;;Leimiswil;3;AARWANGEN
2334;1;BE;4932;Lotzwil;331;;Lotzwil;3;AARWANGEN
2015;1;BE;4934;Madiswil;332;;Madiswil;3;AARWANGEN
;;BE;4934;Mättenbach;332;;Madiswil;3;AARWANGEN
;;BE;4934;Wyssbach;332;;Madiswil;3;AARWANGEN
1669;1;BE;4917;Melchnau;333;;Melchnau;3;AARWANGEN
398;1;BE;4924;Obersteckholz;334;;Obersteckholz;3;AARWANGEN
279;1;BE;4943;Oeschenbach;335;;Oeschenbach;3;AARWANGEN
;;BE;4943;Bleuen;335;;Oeschenbach;3;AARWANGEN
197;1;BE;4919;Reisiswil;336;;Reisiswil;3;AARWANGEN
3600;1;BE;4914;Roggwil;337;;Roggwil (BE);3;AARWANGEN
1364;1;BE;4938;Rohrbach bei Huttwil;338;;Rohrbach;3;AARWANGEN
436;1;BE;4938;Rohrbachgraben;339;;Rohrbachgraben;3;AARWANGEN
530;1;BE;4933;Rütschelen;340;;Rütschelen;3;AARWANGEN
438;1;BE;4911;Schwarzhäusern;341;;Schwarzhäusern;3;AARWANGEN
