A_POP  2008 (v. 14.9.07);;;;;;;;;;
GDENR;GDEKT;GDENAME;GDEBZNA;GDEBZNR;POP 2006;Total;00-18;19-25;>  25;Region Région
BFS-Nr.                  No OFS;Kanton Canton;Gemeinde                Commune  ;Bezirk                                       District ;Bezirk-Nr.                                       No du district ;Mittlere Wohnbe-völkerung 2006   Population moyenne 2006;Wohnbe-völkerung 2000     Population 2000    Total ;Wohnbe-völkerung 2000    Population 2000       0-18;Wohnbe-völkerung 2000      Population 2000     19-25;Wohnbe-völkerung 2000    Population 2000       >  25;Region Région
1;ZH;Aeugst am Albis;Bezirk Affoltern;101;1647;1544;363;100;1081;3
2;ZH;Affoltern am Albis;Bezirk Affoltern;101;10395;10314;2463;904;6947;3
3;ZH;Bonstetten;Bezirk Affoltern;101;4545;3893;908;293;2692;3
4;ZH;Hausen am Albis;Bezirk Affoltern;101;3198;3040;794;217;2029;3
5;ZH;Hedingen;Bezirk Affoltern;101;3240;2991;794;216;1981;3
6;ZH;Kappel am Albis;Bezirk Affoltern;101;849;865;232;53;580;3
7;ZH;Knonau;Bezirk Affoltern;101;1570;1445;389;102;954;3
8;ZH;Maschwanden;Bezirk Affoltern;101;563;553;149;28;376;3
9;ZH;Mettmenstetten;Bezirk Affoltern;101;4008;3724;948;288;2488;3
10;ZH;Obfelden;Bezirk Affoltern;101;4359;4182;1033;368;2781;3
11;ZH;Ottenbach;Bezirk Affoltern;101;2201;2164;533;172;1459;3
12;ZH;Rifferswil;Bezirk Affoltern;101;804;714;195;46;473;3
13;ZH;Stallikon;Bezirk Affoltern;101;2862;2608;540;142;1926;3
14;ZH;Wettswil am Albis;Bezirk Affoltern;101;4193;3784;769;284;2731;3
21;ZH;Adlikon;Bezirk Andelfingen;102;557;587;166;38;383;3
22;ZH;Benken (ZH);Bezirk Andelfingen;102;748;704;201;40;463;3
23;ZH;Berg am Irchel;Bezirk Andelfingen;102;578;573;153;45;375;3
24;ZH;Buch am Irchel;Bezirk Andelfingen;102;799;728;211;56;461;3
25;ZH;Dachsen;Bezirk Andelfingen;102;1734;1533;391;78;1064;3
26;ZH;Dorf;Bezirk Andelfingen;102;634;593;157;40;396;3
27;ZH;Feuerthalen;Bezirk Andelfingen;102;3283;2973;598;203;2172;3
28;ZH;Flaach;Bezirk Andelfingen;102;1210;1164;335;68;761;3
29;ZH;Flurlingen;Bezirk Andelfingen;102;1345;1248;290;72;886;3
30;ZH;Andelfingen;Bezirk Andelfingen;102;1705;1644;386;130;1128;3
31;ZH;Henggart;Bezirk Andelfingen;102;1882;1621;409;95;1117;3
32;ZH;Humlikon;Bezirk Andelfingen;102;430;408;103;15;290;3
33;ZH;Kleinandelfingen;Bezirk Andelfingen;102;1981;1821;463;128;1230;3
34;ZH;Laufen-Uhwiesen;Bezirk Andelfingen;102;1457;1369;291;92;986;3
35;ZH;Marthalen;Bezirk Andelfingen;102;1817;1803;440;148;1215;3
36;ZH;Oberstammheim;Bezirk Andelfingen;102;1096;1064;280;86;698;3
37;ZH;Ossingen;Bezirk Andelfingen;102;1296;1272;349;75;848;3
38;ZH;Rheinau;Bezirk Andelfingen;102;1376;1645;364;69;1212;3
39;ZH;Thalheim an der Thur;Bezirk Andelfingen;102;723;637;143;43;451;3
40;ZH;Trüllikon;Bezirk Andelfingen;102;981;989;213;109;667;3
41;ZH;Truttikon;Bezirk Andelfingen;102;465;435;127;25;283;3
42;ZH;Unterstammheim;Bezirk Andelfingen;102;897;845;247;48;550;3
43;ZH;Volken;Bezirk Andelfingen;102;302;268;71;21;176;3
44;ZH;Waltalingen;Bezirk Andelfingen;102;683;684;221;37;426;3
51;ZH;Bachenbülach;Bezirk Bülach;103;3614;3083;617;268;2198;3
52;ZH;Bassersdorf;Bezirk Bülach;103;9683;7515;1671;657;5187;3
53;ZH;Bülach;Bezirk Bülach;103;15395;13999;3058;1262;9679;3
54;ZH;Dietlikon;Bezirk Bülach;103;6953;6281;1198;537;4546;2
55;ZH;Eglisau;Bezirk Bülach;103;3451;2893;633;234;2026;3
56;ZH;Embrach;Bezirk Bülach;103;8496;7744;1782;723;5239;3
57;ZH;Freienstein-Teufen;Bezirk Bülach;103;2246;2127;573;133;1421;3
58;ZH;Glattfelden;Bezirk Bülach;103;3927;3544;886;267;2391;3
