A_COM 2013 (v.09.11.2012);;;;;
;;;;;
Eine Gemeinde kann mehrere PLZ umfassen und eine PLZ kann in mehreren Gemeinden liegen.;;;;;
Une commune peut comporter plusieurs NPA. Un NPA peut couvrir plusieurs communes.;;;;;
"BFS-Nr.
No OFS";"Kanton
Canton";"Gemeinde
Commune  ";"Region
Région";"Bezirk
District ";"PLZ Ort
NPA Localité"
1;ZH;Aeugst am Albis;3;BEZIRK AFFOLTERN;8914 Aeugst am Albis
1;ZH;Aeugst am Albis;3;BEZIRK AFFOLTERN;8914 Aeugstertal
2;ZH;Affoltern am Albis;3;BEZIRK AFFOLTERN;8909 Zwillikon
2;ZH;Affoltern am Albis;3;BEZIRK AFFOLTERN;8910 Affoltern am Albis
3;ZH;Bonstetten;3;BEZIRK AFFOLTERN;8906 Bonstetten
4;ZH;Hausen am Albis;3;BEZIRK AFFOLTERN;6340 Sihlbrugg
4;ZH;Hausen am Albis;3;BEZIRK AFFOLTERN;8915 Hausen am Albis
4;ZH;Hausen am Albis;3;BEZIRK AFFOLTERN;8925 Ebertswil
5;ZH;Hedingen;3;BEZIRK AFFOLTERN;8908 Hedingen
6;ZH;Kappel am Albis;3;BEZIRK AFFOLTERN;8926 Hauptikon
6;ZH;Kappel am Albis;3;BEZIRK AFFOLTERN;8926 Kappel am Albis
6;ZH;Kappel am Albis;3;BEZIRK AFFOLTERN;8926 Uerzlikon
7;ZH;Knonau;3;BEZIRK AFFOLTERN;8934 Knonau
8;ZH;Maschwanden;3;BEZIRK AFFOLTERN;8933 Maschwanden
9;ZH;Mettmenstetten;3;BEZIRK AFFOLTERN;8932 Mettmenstetten
10;ZH;Obfelden;3;BEZIRK AFFOLTERN;8912 Obfelden
11;ZH;Ottenbach;3;BEZIRK AFFOLTERN;8913 Ottenbach
12;ZH;Rifferswil;3;BEZIRK AFFOLTERN;8911 Rifferswil
13;ZH;Stallikon;3;BEZIRK AFFOLTERN;8143 Stallikon
13;ZH;Stallikon;3;BEZIRK AFFOLTERN;8143 Uetliberg
14;ZH;Wettswil am Albis;3;BEZIRK AFFOLTERN;8907 Wettswil
21;ZH;Adlikon;3;BEZIRK ANDELFINGEN;8452 Adlikon
22;ZH;Benken (ZH);3;BEZIRK ANDELFINGEN;8463 Benken ZH
23;ZH;Berg am Irchel;3;BEZIRK ANDELFINGEN;8415 Berg am Irchel
23;ZH;Berg am Irchel;3;BEZIRK ANDELFINGEN;8415 Gräslikon
24;ZH;Buch am Irchel;3;BEZIRK ANDELFINGEN;8414 Buch am Irchel
25;ZH;Dachsen;3;BEZIRK ANDELFINGEN;8447 Dachsen
26;ZH;Dorf;3;BEZIRK ANDELFINGEN;8458 Dorf
27;ZH;Feuerthalen;3;BEZIRK ANDELFINGEN;8245 Feuerthalen
27;ZH;Feuerthalen;3;BEZIRK ANDELFINGEN;8246 Langwiesen
28;ZH;Flaach;3;BEZIRK ANDELFINGEN;8416 Flaach
29;ZH;Flurlingen;3;BEZIRK ANDELFINGEN;8247 Flurlingen
30;ZH;Andelfingen;3;BEZIRK ANDELFINGEN;8450 Andelfingen
31;ZH;Henggart;3;BEZIRK ANDELFINGEN;8444 Henggart
32;ZH;Humlikon;3;BEZIRK ANDELFINGEN;8457 Humlikon
