;;;;Ständige Wohnbevölkerung am 31.12.2010;;;;;;Ständige Wohnbevölkerung am 31.12.2011;;;;;;
;;;;Population résidante permanente le 31.12.2010;;;;;;Population résidante permanente le 31.12.2011;;;;;;
"BFS-Nr.
No OFS";"Kanton
Canton";"Gemeinde
Commune  ";"Region
Région";Total 2010;"Männer
Hommes 2010";"Frauen
Femmes 2010";0-18;19-25;>  25;Total 2011;"Männer
Hommes 2011";"Frauen
Femmes 2011";0-18;19-25;>  25;
;;Total Schweiz / Suisse;;7'870'134;3'877'426;3'992'708;1'547'264;680'420;5'642'450;7'954'662;3'922'253;4'032'409;1'547'529;688'445;5'718'688;
1;ZH;Aeugst am Albis;3;1824;914;910;368;126;1330;1910;959;951;394;128;1388;
2;ZH;Affoltern am Albis;3;11091;5498;5593;2274;1082;7735;11160;5538;5622;2241;1045;7874;
3;ZH;Bonstetten;3;5159;2556;2603;1184;355;3620;5173;2553;2620;1175;364;3634;
4;ZH;Hausen am Albis;3;3360;1640;1720;738;260;2362;3356;1622;1734;751;261;2344;
5;ZH;Hedingen;3;3410;1704;1706;790;277;2343;3469;1743;1726;785;297;2387;
6;ZH;Kappel am Albis;3;918;454;464;219;70;629;956;475;481;231;63;662;
7;ZH;Knonau;3;1800;909;891;425;140;1235;1894;962;932;427;158;1309;
8;ZH;Maschwanden;3;616;300;316;140;38;438;641;315;326;145;45;451;
9;ZH;Mettmenstetten;3;4243;2117;2126;963;361;2919;4377;2184;2193;966;354;3057;
10;ZH;Obfelden;3;4686;2362;2324;1045;411;3230;4761;2388;2373;1073;418;3270;
11;ZH;Ottenbach;3;2410;1201;1209;504;182;1724;2459;1215;1244;503;198;1758;
12;ZH;Rifferswil;3;900;430;470;226;67;607;933;441;492;234;66;633;
13;ZH;Stallikon;3;3161;1600;1561;596;197;2368;3275;1660;1615;628;202;2445;
14;ZH;Wettswil am Albis;3;4518;2203;2315;926;263;3329;4594;2252;2342;968;242;3384;
21;ZH;Adlikon;3;577;292;285;109;52;416;577;288;289;107;44;426;
22;ZH;Benken (ZH);3;798;398;400;150;74;574;819;411;408;155;76;588;
23;ZH;Berg am Irchel;3;599;304;295;98;62;439;586;297;289;92;59;435;
24;ZH;Buch am Irchel;3;874;438;436;209;68;597;894;444;450;221;62;611;
25;ZH;Dachsen;3;1939;984;955;475;129;1335;1956;985;971;473;141;1342;
26;ZH;Dorf;3;632;312;320;162;45;425;633;315;318;152;56;425;
27;ZH;Feuerthalen;3;3490;1739;1751;669;286;2535;3474;1722;1752;655;283;2536;
28;ZH;Flaach;3;1227;608;619;267;102;858;1249;617;632;266;108;875;
29;ZH;Flurlingen;3;1428;718;710;304;115;1009;1429;726;703;297;104;1028;
30;ZH;Andelfingen;3;1860;889;971;393;144;1323;1988;957;1031;427;145;1416;
31;ZH;Henggart;3;2213;1073;1140;534;158;1521;2242;1091;1151;555;165;1522;
32;ZH;Humlikon;3;457;234;223;109;33;315;476;243;233;114;35;327;
33;ZH;Kleinandelfingen;3;2085;1039;1046;475;156;1454;2028;1010;1018;449;151;1428;
34;ZH;Laufen-Uhwiesen;3;1511;771;740;310;116;1085;1530;772;758;316;101;1113;
35;ZH;Marthalen;3;1931;990;941;402;173;1356;1978;1001;977;410;179;1389;
36;ZH;Oberstammheim;3;1078;520;558;239;104;735;1105;539;566;248;95;762;
37;ZH;Ossingen;3;1348;670;678;305;128;915;1350;676;674;309;121;920;
38;ZH;Rheinau;3;1302;636;666;264;99;939;1319;654;665;262;103;954;
39;ZH;Thalheim an der Thur;3;818;428;390;200;51;567;877;459;418;203;57;617;
40;ZH;Trüllikon;3;993;502;491;181;75;737;993;506;487;183;67;743;
41;ZH;Truttikon;3;475;226;249;121;38;316;467;227;240;116;30;321;
42;ZH;Unterstammheim;3;875;427;448;211;90;574;883;431;452;214;80;589;
43;ZH;Volken;3;310;162;148;76;20;214;307;162;145;75;17;215;
44;ZH;Waltalingen;3;691;347;344;163;55;473;687;345;342;152;69;466;
51;ZH;Bachenbülach;3;3885;1954;1931;797;254;2834;3995;1995;2000;823;251;2921;
52;ZH;Bassersdorf;3;11077;5538;5539;2302;882;7893;11170;5571;5599;2303;920;7947;
53;ZH;Bülach;3;17511;8621;8890;3458;1696;12357;17503;8604;8899;3400;1680;12423;
54;ZH;Dietlikon;2;7063;3522;3541;1350;526;5187;7105;3536;3569;1376;530;5199;
55;ZH;Eglisau;3;4217;2142;2075;889;311;3017;4501;2285;2216;967;340;3194;
56;ZH;Embrach;3;8860;4460;4400;1889;806;6165;8925;4522;4403;1884;827;6214;
57;ZH;Freienstein-Teufen;3;2294;1155;1139;486;191;1617;2279;1156;1123;473;175;1631;
58;ZH;Glattfelden;3;4261;2119;2142;933;328;3000;4474;2227;2247;953;358;3163;
59;ZH;Hochfelden;3;1996;960;1036;454;156;1386;2010;978;1032;454;156;1400;
60;ZH;Höri;3;2455;1255;1200;523;250;1682;2450;1268;1182;514;237;1699;
61;ZH;Hüntwangen;3;949;487;462;214;63;672;959;490;469;199;71;689;
62;ZH;Kloten;2;18030;9075;8955;3234;1575;13221;18210;9165;9045;3194;1634;13382;
63;ZH;Lufingen;3;1762;907;855;410;105;1247;1828;957;871;436;113;1279;
64;ZH;Nürensdorf;3;5180;2576;2604;946;386;3848;5234;2613;2621;959;383;3892;
65;ZH;Oberembrach;3;973;478;495;188;64;721;1007;495;512;193;73;741;
66;ZH;Opfikon;2;15573;8060;7513;2771;1586;11216;15995;8278;7717;2897;1605;11493;
67;ZH;Rafz;3;4025;1997;2028;902;361;2762;4061;2019;2042;887;375;2799;
68;ZH;Rorbas;3;2339;1169;1170;508;209;1622;2479;1247;1232;536;230;1713;
