;;;;Ständige Wohnbevölkerung am 31.12.2011;;;;;;Ständige Wohnbevölkerung am 31.12.2012;;;;;;
;;;;Population résidante permanente le 31.12.2011;;;;;;Population résidante permanente le 31.12.2012;;;;;;
"BFS-Nr.
No OFS";"Kanton
Canton";"Gemeinde
Commune  ";"Region
Région";Total 2011;"Männer
Hommes 2011";"Frauen
Femmes 2011";0-18;19-25;>  25;Total 2012;"Männer
Hommes 2012";"Frauen
Femmes 2012";0-18;19-25;>  25;
;;Total Schweiz / Suisse;;7'954'662;3'922'253;4'032'409;1'547'529;688'445;5'718'688;8'039'060;3'968'524;4'070'536;1'551'225;692'105;5'795'730;
1;ZH;Aeugst am Albis;3;1'910;959;951;394;128;1'388;1'955;980;975;400;141;1'414;
2;ZH;Affoltern am Albis;3;11'160;5'538;5'622;2'241;1'045;7'874;11'276;5'591;5'685;2'237;1'018;8'021;
3;ZH;Bonstetten;3;5'173;2'553;2'620;1'175;364;3'634;5'205;2'576;2'629;1'230;351;3'624;
4;ZH;Hausen am Albis;3;3'356;1'622;1'734;751;261;2'344;3'376;1'639;1'737;742;244;2'390;
5;ZH;Hedingen;3;3'469;1'743;1'726;785;297;2'387;3'511;1'762;1'749;786;318;2'407;
6;ZH;Kappel am Albis;3;956;475;481;231;63;662;922;456;466;222;59;641;
7;ZH;Knonau;3;1'894;962;932;427;158;1'309;1'982;1'013;969;444;153;1'385;
8;ZH;Maschwanden;3;641;315;326;145;45;451;641;318;323;151;41;449;
9;ZH;Mettmenstetten;3;4'377;2'184;2'193;966;354;3'057;4'420;2'227;2'193;961;339;3'120;
10;ZH;Obfelden;3;4'761;2'388;2'373;1'073;418;3'270;4'833;2'434;2'399;1'072;403;3'358;
11;ZH;Ottenbach;3;2'459;1'215;1'244;503;198;1'758;2'480;1'236;1'244;507;173;1'800;
12;ZH;Rifferswil;3;933;441;492;234;66;633;957;453;504;243;62;652;
13;ZH;Stallikon;3;3'275;1'660;1'615;628;202;2'445;3'309;1'683;1'626;644;206;2'459;
14;ZH;Wettswil am Albis;3;4'594;2'252;2'342;968;242;3'384;4'579;2'245;2'334;953;246;3'380;
21;ZH;Adlikon;3;577;288;289;107;44;426;561;275;286;103;46;412;
22;ZH;Benken (ZH);3;819;411;408;155;76;588;823;413;410;151;70;602;
23;ZH;Berg am Irchel;3;586;297;289;92;59;435;587;303;284;88;53;446;
24;ZH;Buch am Irchel;3;888;440;448;220;62;606;893;443;450;209;69;615;
25;ZH;Dachsen;3;1'956;985;971;473;141;1'342;1'960;989;971;470;135;1'355;
26;ZH;Dorf;3;633;315;318;152;56;425;634;318;316;149;53;432;
27;ZH;Feuerthalen;3;3'474;1'722;1'752;655;283;2'536;3'464;1'737;1'727;653;268;2'543;
28;ZH;Flaach;3;1'249;617;632;266;108;875;1'331;664;667;279;119;933;
29;ZH;Flurlingen;3;1'429;726;703;297;104;1'028;1'414;712;702;288;98;1'028;
30;ZH;Andelfingen;3;1'988;957;1'031;427;145;1'416;2'063;1'007;1'056;436;150;1'477;
31;ZH;Henggart;3;2'242;1'091;1'151;555;165;1'522;2'254;1'107;1'147;555;173;1'526;
32;ZH;Humlikon;3;476;243;233;114;35;327;483;244;239;122;35;326;
33;ZH;Kleinandelfingen;3;2'028;1'010;1'018;449;151;1'428;2'013;988;1'025;440;148;1'425;
34;ZH;Laufen-Uhwiesen;3;1'530;772;758;316;101;1'113;1'558;785;773;311;99;1'148;
35;ZH;Marthalen;3;1'978;1'001;977;410;179;1'389;1'968;994;974;385;197;1'386;
36;ZH;Oberstammheim;3;1'105;539;566;248;95;762;1'130;551;579;238;99;793;
37;ZH;Ossingen;3;1'350;676;674;309;121;920;1'348;679;669;314;98;936;
38;ZH;Rheinau;3;1'319;654;665;262;103;954;1'345;668;677;247;117;981;
39;ZH;Thalheim an der Thur;3;877;459;418;203;57;617;899;470;429;209;53;637;
40;ZH;Trüllikon;3;993;506;487;183;67;743;988;509;479;181;60;747;
41;ZH;Truttikon;3;467;227;240;116;30;321;464;225;239;115;36;313;
42;ZH;Unterstammheim;3;883;431;452;214;80;589;867;427;440;209;68;590;
43;ZH;Volken;3;307;162;145;75;17;215;310;165;145;75;22;213;
44;ZH;Waltalingen;3;687;345;342;152;69;466;675;335;340;146;68;461;
51;ZH;Bachenbülach;3;3'995;1'995;2'000;823;251;2'921;4'019;2'010;2'009;827;263;2'929;
52;ZH;Bassersdorf;3;11'170;5'571;5'599;2'303;920;7'947;11'243;5'617;5'626;2'315;885;8'043;
53;ZH;Bülach;3;17'503;8'604;8'899;3'400;1'680;12'423;17'975;8'807;9'168;3'486;1'719;12'770;
54;ZH;Dietlikon;2;7'105;3'536;3'569;1'376;530;5'199;7'170;3'549;3'621;1'379;556;5'235;
55;ZH;Eglisau;3;4'501;2'285;2'216;967;340;3'194;4'709;2'390;2'319;1'012;356;3'341;
56;ZH;Embrach;3;8'925;4'522;4'403;1'884;827;6'214;8'986;4'541;4'445;1'878;817;6'291;
57;ZH;Freienstein-Teufen;3;2'279;1'156;1'123;473;175;1'631;2'317;1'171;1'146;473;198;1'646;
58;ZH;Glattfelden;3;4'474;2'227;2'247;953;358;3'163;4'550;2'278;2'272;957;359;3'234;
59;ZH;Hochfelden;3;2'010;978;1'032;454;156;1'400;2'022;986;1'036;466;144;1'412;
60;ZH;Höri;3;2'450;1'268;1'182;514;237;1'699;2'619;1'334;1'285;552;255;1'812;
61;ZH;Hüntwangen;3;959;490;469;199;71;689;1'000;522;478;215;76;709;
62;ZH;Kloten;2;18'210;9'165;9'045;3'194;1'634;13'382;18'402;9'314;9'088;3'204;1'640;13'558;
63;ZH;Lufingen;3;1'828;957;871;436;113;1'279;1'833;958;875;436;113;1'284;
64;ZH;Nürensdorf;3;5'234;2'613;2'621;959;383;3'892;5'274;2'633;2'641;967;369;3'938;
65;ZH;Oberembrach;3;1'007;495;512;193;73;741;1'030;511;519;188;82;760;
66;ZH;Opfikon;2;15'995;8'278;7'717;2'897;1'605;11'493;16'116;8'343;7'773;2'927;1'506;11'683;
67;ZH;Rafz;3;4'061;2'019;2'042;887;375;2'799;4'098;2'045;2'053;903;356;2'839;
68;ZH;Rorbas;3;2'479;1'247;1'232;536;230;1'713;2'501;1'250;1'251;539;249;1'713;
69;ZH;Wallisellen;2;14'075;7'062;7'013;2'473;1'166;10'436;14'188;7'090;7'098;2'548;1'086;10'554;
70;ZH;Wasterkingen;3;547;269;278;102;52;393;547;269;278;100;50;397;
71;ZH;Wil (ZH);3;1'297;660;637;245;108;944;1'298;659;639;244;106;948;
72;ZH;Winkel;3;3'909;1'988;1'921;693;258;2'958;4'088;2'095;1'993;714;258;3'116;
81;ZH;Bachs;3;563;287;276;94;44;425;574;292;282;91;44;439;
82;ZH;Boppelsen;3;1'291;644;647;299;60;932;1'276;633;643;301;61;914;
83;ZH;Buchs (ZH);3;5'695;2'904;2'791;1'206;566;3'923;6'068;3'105;2'963;1'259;571;4'238;
84;ZH;Dällikon;3;3'652;1'908;1'744;754;297;2'601;3'733;1'937;1'796;748;321;2'664;
85;ZH;Dänikon;3;1'913;963;950;409;201;1'303;1'928;960;968;411;193;1'324;
86;ZH;Dielsdorf;3;5'770;2'885;2'885;1'105;520;4'145;5'790;2'891;2'899;1'108;500;4'182;
87;ZH;Hüttikon;3;666;341;325;99;55;512;669;331;338;115;55;499;
88;ZH;Neerach;3;3'020;1'539;1'481;491;171;2'358;3'029;1'546;1'483;494;160;2'375;
89;ZH;Niederglatt;3;4'554;2'262;2'292;935;353;3'266;4'580;2'264;2'316;935;356;3'289;
90;ZH;Niederhasli;3;8'613;4'315;4'298;1'857;761;5'995;8'723;4'362;4'361;1'894;743;6'086;
91;ZH;Niederweningen;3;2'758;1'346;1'412;676;218;1'864;2'760;1'358;1'402;671;193;1'896;
92;ZH;Oberglatt;3;5'981;3'067;2'914;1'336;544;4'101;6'063;3'095;2'968;1'375;520;4'168;
93;ZH;Oberweningen;3;1'739;870;869;371;169;1'199;1'754;892;862;370;156;1'228;
94;ZH;Otelfingen;3;2'616;1'299;1'317;564;169;1'883;2'755;1'369;1'386;628;179;1'948;
95;ZH;Regensberg;3;498;250;248;110;23;365;491;249;242;108;19;364;
96;ZH;Regensdorf;2;16'849;8'490;8'359;3'390;1'419;12'040;16'975;8'559;8'416;3'457;1'426;12'092;
97;ZH;Rümlang;2;6'935;3'506;3'429;1'288;671;4'976;7'019;3'531;3'488;1'310;688;5'021;
98;ZH;Schleinikon;3;722;374;348;163;48;511;718;375;343;158;55;505;
99;ZH;Schöfflisdorf;3;1'355;683;672;267;107;981;1'375;683;692;274;116;985;
100;ZH;Stadel;3;1'980;977;1'003;404;151;1'425;2'015;990;1'025;420;154;1'441;
101;ZH;Steinmaur;3;3'233;1'616;1'617;570;288;2'375;3'279;1'676;1'603;566;293;2'420;
102;ZH;Weiach;3;1'029;525;504;185;74;770;1'083;554;529;198;88;797;
111;ZH;Bäretswil;3;4'878;2'424;2'454;1'060;395;3'423;4'934;2'458;2'476;1'045;388;3'501;
112;ZH;Bubikon;3;6'776;3'355;3'421;1'472;549;4'755;6'854;3'368;3'486;1'521;504;4'829;
113;ZH;Dürnten;3;7'054;3'584;3'470;1'575;578;4'901;7'164;3'622;3'542;1'591;584;4'989;
114;ZH;Fischenthal;3;2'331;1'190;1'141;571;183;1'577;2'329;1'188;1'141;556;195;1'578;
115;ZH;Gossau (ZH);3;9'665;4'783;4'882;2'042;766;6'857;9'725;4'810;4'915;2'064;775;6'886;
116;ZH;Grüningen;3;3'188;1'587;1'601;638;296;2'254;3'229;1'615;1'614;654;281;2'294;
117;ZH;Hinwil;3;10'559;5'210;5'349;2'091;958;7'510;10'615;5'287;5'328;2'091;913;7'611;
118;ZH;Rüti (ZH);3;11'819;5'858;5'961;2'267;1'173;8'379;11'968;5'955;6'013;2'273;1'195;8'500;
119;ZH;Seegräben;3;1'293;656;637;264;114;915;1'305;657;648;267;106;932;
120;ZH;Wald (ZH);3;9'223;4'592;4'631;1'854;842;6'527;9'343;4'639;4'704;1'881;799;6'663;
121;ZH;Wetzikon (ZH);3;22'669;11'255;11'414;4'438;2'203;16'028;23'274;11'578;11'696;4'437;2'309;16'528;
131;ZH;Adliswil;2;17'518;8'718;8'800;3'163;1'360;12'995;18'037;8'979;9'058;3'257;1'393;13'387;
132;ZH;Hirzel;3;2'101;1'038;1'063;492;145;1'464;2'134;1'059;1'075;499;155;1'480;
133;ZH;Horgen;2;19'095;9'335;9'760;3'657;1'310;14'128;19'282;9'438;9'844;3'696;1'334;14'252;
134;ZH;Hütten;3;911;474;437;233;60;618;897;461;436;222;63;612;
135;ZH;Kilchberg (ZH);2;7'570;3'667;3'903;1'384;428;5'758;7'675;3'736;3'939;1'441;413;5'821;
136;ZH;Langnau am Albis;3;7'218;3'562;3'656;1'396;523;5'299;7'254;3'558;3'696;1'415;527;5'312;
137;ZH;Oberrieden;3;4'971;2'369;2'602;893;320;3'758;4'979;2'391;2'588;897;332;3'750;
138;ZH;Richterswil;2;12'583;6'171;6'412;2'599;981;9'003;12'832;6'279;6'553;2'675;981;9'176;
139;ZH;Rüschlikon;3;5'392;2'596;2'796;1'015;326;4'051;5'425;2'601;2'824;1'017;324;4'084;
140;ZH;Schönenberg (ZH);3;1'895;946;949;374;147;1'374;1'896;932;964;375;143;1'378;
141;ZH;Thalwil;2;17'286;8'400;8'886;3'100;1'140;13'046;17'340;8'470;8'870;3'134;1'101;13'105;
142;ZH;Wädenswil;2;20'870;10'160;10'710;3'980;1'589;15'301;20'967;10'227;10'740;3'944;1'598;15'425;
151;ZH;Erlenbach (ZH);2;5'265;2'525;2'740;1'107;337;3'821;5'325;2'568;2'757;1'135;329;3'861;
152;ZH;Herrliberg;2;6'130;2'972;3'158;1'254;414;4'462;6'148;2'968;3'180;1'249;432;4'467;
153;ZH;Hombrechtikon;2;8'096;4'005;4'091;1'699;651;5'746;8'119;4'022;4'097;1'679;665;5'775;
154;ZH;Küsnacht (ZH);2;13'524;6'379;7'145;2'497;775;10'252;13'518;6'385;7'133;2'467;793;10'258;
155;ZH;Männedorf;2;10'441;5'014;5'427;2'222;586;7'633;10'470;5'032;5'438;2'219;609;7'642;
156;ZH;Meilen;2;12'705;6'084;6'621;2'392;768;9'545;12'816;6'115;6'701;2'420;765;9'631;
157;ZH;Oetwil am See;2;4'506;2'220;2'286;958;393;3'155;4'557;2'251;2'306;967;380;3'210;
158;ZH;Stäfa;2;13'886;6'745;7'141;2'646;916;10'324;13'876;6'750;7'126;2'574;925;10'377;
